date;specimen nr.;nr of pics;AV;magnification;formation;Comments
22/01/2018;233CV;2;15v;x30;NKBS;
22/01/2018;234CC;2;15v;x30;NKBS;
22/01/2018;191CC;2;15v;x30;NKBS;
22/01/2018;190CV;2;15v;x30 (1) & x35 (2);NKBS;
22/01/2018;235CC;2;15v;x30 (1) & x35 (2);NKBS;
22/01/2018;194CV;2;15v;x30;NKBS;
22/01/2018;195CC;2;15v;x30;NKBS;
22/01/2018;230CC;2;15v;x30;NKBS;
22/01/2018;229CV;2;15v;x30;NKBS;
22/01/2018;240CV;2;15v;x30;NKBS;
23/01/2018;219CV;2;15v;x30;NKBS;
23/01/2018;206CC;2;15v;x30;NKBS;
23/01/2018;216CV;2;15v;x30;NKBS;
23/01/2018;242CV;2;15v;x30;NKBS;
23/01/2018;202CV;2;15v;x30;NKBS;
23/01/2018;211CV;2;15v;x30;NKBS;
23/01/2018;209CV;2;15v;x30;NKBS;
23/01/2018;210CC;2;15v;x30;NKBS;
24/01/2018;224CC;2;15v;x30;NKBS;
24/01/2018;188CV;2;15v;x30;NKBS;
24/01/2018;189CC;2;15v;x30;NKBS;
24/01/2018;208CV;2;15v;x30;NKBS;
24/01/2018;207CV;2;15v;x30 (1) & x35 (2);NKBS;
24/01/2018;225CV;2;15v;x30;NKBS;
24/01/2018;226CC;2;15v;x30;NKBS;
24/01/2018;203CV;2;15v;x30;NKBS;
24/01/2018;204CV;2;15v;x30;NKBS;
29/01/2018;311F;2;15v;x30;NKBS;
29/01/2018;034CV;2;15v;x30;NKBS;
29/01/2018;035CC;2;15v;x30;NKBS;
29/01/2018;132CV;2;15v;x30;NKBS;
29/01/2018;133CC;2;15v;x30;NKBS;
29/01/2018;033CC;2;15v;x30;NKBS;
29/01/2018;037CV;2;15v;x30;NKBS;
29/01/2018;028CC;2;15v;x30;NKBS;
30/01/2018;386CV;2;15v;x30;NKBS;
30/01/2018;398CV;2;15v;x30;NKBS;
30/01/2018;391CV;2;15v;x30;NKBS;
30/01/2018;388CV;2;15v;x30;NKBS;
30/01/2018;397CV;2;15v;X35;NKBS;
30/01/2018;383CV;2;15v;x30;NKBS;
30/01/2018;384CC;2;15v;x30;NKBS;
30/01/2018;387CV;2;15v;X35;NKBS;
30/01/2018;389CV;2;15v;x30;NKBS;
30/01/2018;392CV;2;15v;x30;NKBS;
30/01/2018;396CV;2;15v;x30;NKBS;
31/01/2018;054CV;2;15v;x30;NKBS;
31/01/2018;055CC;2;15v;x30;NKBS;
31/01/2018;057CC;2;15v;x30;NKBS;
31/01/2018;052CC;2;15v;x30;NKBS;
31/01/2018;058CV;2;15v;x30;NKBS;
31/01/2018;062CV;2;15v;X35;NKBS;
31/01/2018;026CV;2;15v;x35 (1) & x30 (2);NKBS;
31/01/2018;022CV;2;15v;x30;NKBS;
31/01/2018;001CC;2;15v;x30;NKBS;
31/01/2018;023CV;2;15v;x30 (1) & x35 (2);NKBS;
31/01/2018;024CC ;2;15v;x30;NKBS;
31/01/2018;013CC;2;15v;x30;NKBS;
31/01/2018;005CV;2;15v;x30;NKBS;
31/01/2018;006CC;3;15v;x30;NKBS;
01/02/2018;151CC;2;15v;x30;NKBS;
01/02/2018;162CV;2;15v;x30;NKBS;
01/02/2018;154CV;3;15v;x30 (1,3) & x35 (2);NKBS;
01/02/2018;140CV;2;15v;x30;NKBS;
01/02/2018;161CC;2;15v;x30;NKBS;
01/02/2018;159CV;2;15v;x30;NKBS;
01/02/2018;142CC;2;15v;x30;NKBS;
01/02/2018;171CV;2;15v;x30;NKBS;
01/02/2018;164CV;2;15v;x30;NKBS;
01/02/2018;165CC;2;15v;x30;NKBS;
02/02/2018;166CV;2;15v;x30;NKBS;
02/02/2018;155CV;2;15v;x30;NKBS;
02/02/2018;156CV;2;15v;x30;NKBS;
05/02/2018;146CV;2;15v;x30;NKBS;
05/02/2018;147CC;2;15v;x30;NKBS;
05/02/2018;173CC;2;15v;x30;NKBS;
05/02/2018;160CV;2;15v;x30;NKBS;
05/02/2018;169CV;2;15v;x30;NKBS;
05/02/2018;138CV;2;15v;x30;NKBS;
05/02/2018;139CC;2;15v;x30;NKBS;
