Expedition,SAMPLE_ID,Formation_name,GPS number,GPS lat,GPS long,Date ,Time,Collectors,Code,Total,Encrusted,Rate,Physical Description,Photo ID,Unpacked,Unpacked by,unpacking notes,Small,Large,Too large,NOTE,,,,
WABO I,1,Lower Castlecliff Shellbed,1,39S 54.243,174E 56.183,10/01/2014,,"SR, LLH, KV",SR #9,52,17,0.327,"Exposure about 0.5 by 2 m across, but washdown before two in place shell beds. We sampled one of them",,,,,,,,,,,,
WABO I,2,Lower Castlecliff Shellbed,2,39S 54.236,174E 56.183,10/01/2014,,"SR, LLH, KV",SR #9,51,13,0.255,"Exposure 1.35 by 1 m, about 10 m North of Sample 1",,,,,,,,,,,,
WABO I,3,Lower Castlecliff Shellbed,3,39S 54.253,174E 56.199,10/01/2014,,"SR, LLH, KV",SR #9,53,15,0.283,"Exposure about 2 m by 1.5 m with concentration of shells lower, about 20 m South of Sample 1",,,,,,,,,,,,
WABO I,4,Tainui Shellbed,4,39S 54.645,174E 56.820,10/01/2014,,"SR, LLH, KV",RVTL -1,53,10,0.189,Exposure about 5-1m by 10 m.,,,,,,,,,,,,
WABO I,5,Tainui Shellbed,5,39S 56.668,175E 09.173,10/01/2014,,"SR, LLH, KV",SR #24,50,8,0.160,"Exposure about 0.5 m by 2 m, Pinnacle Sand under seen clearly. Substantial decalcification. ",,,,,,,,,,,,
WABO I,6,Tainui Shellbed,6,39S 55.061,174E 57.347,11/01/2014,,"SR, LLH, KV",SR #5,50,17,0.340,"Exposure about 1 m by 8 am, we did four here (low)",,,,,,,,,,,,
WABO I,7,Tainui Shellbed,6,39S 55.061,174E 57.347,11/01/2014,,"SR, LLH, KV",SR #5,50,10,0.200,"Exposure about 1 m by 8 am, we did four here (high)",,,,,,,,,,,,
WABO I,8,Tainui Shellbed,6,39S 55.061,174E 57.347,11/01/2014,,"SR, LLH, KV",SR #5,50,14,0.280,"Exposure about 1 m by 8 am, we did four here (high)",,,,,,,,,,,,
WABO I,9,Tainui Shellbed,6,39S 55.061,174E 57.347,11/01/2014,,"SR, LLH, KV",SR #5,50,14,0.280,"Exposure about 1 m by 8 am, we did four here (low)",,,,,,,,,,,,
WABO I,10,Upper Castlecliff Shellbed,8,39S 55.066,174E 57.383,11/01/2014,,"SR, LLH, KV",SR #4,50,21,0.420,Exposure abpout 2 m by 150-200 m. Better preservation than previous for because more silty?,,,,,,,,,,,,
WABO I,11,Upper Castlecliff Shellbed,8,39S 55.066,174E 57.383,11/01/2014,,"SR, LLH, KV",SR #4,50,10,0.200,Exposure abpout 2 m by 150-200 m. climbed about 50 birds eye view south of Sample 10. Did 5 here,,,,,,,,,,,,
WABO I,12,Upper Castlecliff Shellbed,8,39S 55.066,174E 57.383,11/01/2014,,"SR, LLH, KV",SR #4,50,11,0.220,Exposure abpout 2 m by 150-200 m. climbed about 50 birds eye view south of Sample 10. Did 5 here,,,,,,,,,,,,
WABO I,13,Upper Castlecliff Shellbed,8,39S 55.066,174E 57.383,11/01/2014,,"SR, LLH, KV",SR #4,50,10,0.200,Exposure abpout 2 m by 150-200 m. climbed about 50 birds eye view south of Sample 10. Did 5 here,,,,,,,,,,,,
WABO I,14,Upper Castlecliff Shellbed,8,39S 55.066,174E 57.383,11/01/2014,,"SR, LLH, KV",SR #4,50,7,0.140,Exposure abpout 2 m by 150-200 m. climbed about 50 birds eye view south of Sample 10. Did 5 here,,,,,,,,,,,,
WABO I,15,Upper Castlecliff Shellbed,8,39S 55.066,174E 57.383,11/01/2014,,"SR, LLH, KV",SR #4,50,7,0.140,Exposure abpout 2 m by 150-200 m. climbed about 50 birds eye view south of Sample 10. Did 5 here,,,,,,,,,,,,
WABO I,16,Upper Castlecliff Shellbed,9,39S 55.084,174E 57.407,11/01/2014,,"SR, LLH, KV",SR #4,50,10,0.200,"Walked by ""cave"" and then  sampled. Exposure is continuation from previous so 2 m ",,,,,,,,,,,,
WABO I,17,Upper Castlecliff Shellbed,9,39S 55.084,174E 57.407,11/01/2014,,"SR, LLH, KV",SR #4,50,10,0.200,"Walked by ""cave"" and then  sampled. Exposure is continuation from previous so 2 m ",,,LHL,,,,,,,,,
WABO I,18,Upper Castlecliff Shellbed,9,39S 55.084,174E 57.407,11/01/2014,,"SR, LLH, KV",SR #4,50,17,0.340,"Walked by ""cave"" and then  sampled. Exposure is continuation from previous so 2 m ",,,LHL,changed from 28 to 17 enxrusted,,,,,,,,
WABO I,19,Upper Castlecliff Shellbed,11,39S 55.323,174E 57.573,11/01/2014,,"SR, LLH, KV",SR #3,50,21,0.420,Hard to reach sample. Very small exposure but good quality.,,,,,,,,,,,,
WABO I,20,Upper Castlecliff Shellbed,12,39S 55.289,174E 57.664,12/01/2014,,"SR, LLH, KV",btw SR #2 & #3,50,8,0.160,"Between SR #2 and 3 (Christianed ""Jurassic Park"") 1.5 by 6 m. Washed down below. Sandy, probably nearshore, many Otionella, poor preservation)",,,,,,,,,,,,
WABO I,21,Shakespeare Cliff Basal Sand Shellbed,13,39S 55.104,174E 57.422,12/01/2014,,"SR, LLH, KV",,50,28,0.560,"Basal Sand. Site christianed ""Crouching Tiger Hidden Dragon"".  First of two samples here. Good preservation and many encrusters seen",,26/2/14,KV,changed from 40 to 28 encrusted,9,16,3,,,,,
WABO I,22,Shakespeare Cliff Basal Sand Shellbed,13,39S 55.104,174E 57.422,12/01/2014,,"SR, LLH, KV",,50,25,0.500,"Basal Sand. Site christianed ""Crouching Tiger Hidden Dragon"". Second of two samples here. Good preservation and many encrusters seen",,27/2/14,LHL,,7,17,1,,,,,
WABO I,23,Shakespeare Cliff Basal Sand Shellbed,14,39S 55.093,174E 57.404,12/01/2014,,"SR, LLH, KV",,50,21,0.420,"Basal Sand. About 50 m south of Samples 22 and 23, same horizon. Wet. Shells are ""vegetated""",,26/2/14,LHL,,4,16,1,,,,,
WABO I,24,Tainui Shellbed,15,39S 55.078,174E 57.377,12/01/2014,,"SR, LLH, KV",SR #4,50,9,0.180,At or close to SR #4. First of three samples. Poor preservaetion,,,,,,,,,,,,
WABO I,25,Tainui Shellbed,15,39S 55.078,174E 57.377,12/01/2014,,"SR, LLH, KV",,50,3,0.060,At or close to SR #4. Second of three samples. Poor preservaetion,,,,,,,,,,,,
WABO I,26,Tainui Shellbed,15,39S 55.078,174E 57.377,12/01/2014,,"SR, LLH, KV",,50,3,0.060,At or close to SR #4. Three of three samples. Poor preservaetion,,,,,,,,,,,,
WABO I,27,Shakespeare Cliff Basal Sand Shellbed,10,39S 55.072,174E 57.386,12/01/2014,,"SR, LLH, KV",,50,35,0.700,Basal Sand. Same spot from which Paul did an interaction sample on 11/01/2014. Fallen block. We can see source above,,28/2/2014,LHL,changed from 39 to 25,,,,,,,,
WABO I,28,Tainui Shellbed,16,39S 54.915,174E 57.129,12/01/2014,,"SR, LLH, KV",,50,12,0.240,"Slity, poor preservation, fallen from section right above, which is a huge exposure.",,,,,,,,,,,,
WABO I,29,Shakespeare Cliff Basal Sand Shellbed,17,39S 54.909,174E 57.177,12/01/2014,,"SR, LLH, KV",,50,16,0.320,Basal Sand. Fallen block about 20 m South of sample 25. Crumbly and poorer than other Shakespeare Cliff Basal Sands seen previously on this trip.,,26/2/2014,LHL,changed from 15 to 16 encrusted,9,7,0,,,,,
WABO I,30,Lower Castlecliff Shellbed,18,39S 54.271,174E 56.225,12/01/2014,,"SR, LLH, KV",,50,34,0.680,About 50 m North of  SR #9 visited on 10/1/2014. Fallen block but source visible. First of two such samples,,,,,,,,,,,,
WABO I,31,Lower Castlecliff Shellbed,18,39S 54.271,174E 56.225,12/01/2014,,"SR, LLH, KV",,50,16,0.320,About 50 m North of  SR #9 visited on 10/1/2014. Fallen block but source visible. Second of two such samples,,,,,,,,,,,,
WABO I,32,Lower Castlecliff Shellbed,18,39S 54.271,174E 56.225,12/01/2014,,"SR, LLH, KV",,50,16,0.320,"About 50 m North of  SR #9 visited on 10/1/2014. In place sample of Smaples 30 and 31, difficult access.",,,,,,,,,,,,
