"image","path.tif","folder","subfolder","ext","fileName.tif","specimenNR.tif","path.txt","InstructName","SemVersion","SDMVersion","SerialNumber","DataNumber","SampleName","Format","ImageName","Directory","Date","Time","Media","DataSize","PixelSize","SignalName","DisplaySignalName","SEDetSetting","AcceleratingVoltage","DecelerationVoltage","DecelerationMode","Magnification","WorkingDistance","EmissionCurrent","PhotoSize","MagnificationDisplay","Vacuum","MicronMarker","SubMagnification","SubSignalName","SpecimenBias","Condencer1","ScanSpeed","CaptureSpeed_Integration","CalibrationScanSpeed","ImgEnhance","ColorMode","ColorPalette","ScreenMode","Comment","KeyWord1","KeyWord2","Condition","DataDisplayCombine","StageType","StagePositionX","StagePositionY","StagePositionR","StagePositionZ","StagePositionT","FocusDepth","DynamicFocus","TiltCompensation","ImageShiftX","ImageShiftY","RasterRotation","MagneticSample","UserName","Vacc","Mag","WD","LensMode","fileName.txt","specimenNR.txt","ImageNameCheck","AV.fileName","mag.fileName","magCheck","AVCheck"
"MHR.157.BLEED.242","../../../../../../media/voje-lab/00C67493C6748AA4/BLEED//MHR.157.BLEED.242.tif","","NONE","tif","MHR.157.BLEED.242.tif","242","../../../../../../media/voje-lab/00C67493C6748AA4/BLEED//MHR.157.BLEED.242.txt","TM4000","01-02",NA,"177008-10","TM4000 0001",NA,"tif","MHR.157.BLEED.242.tif","C:\Mali\Vouchers\","04/23/2018","11:11:02","HD[Windows]","2560x1920","1240.234","BSE","BSE",NA,"15000 Volt","0 Volt",NA,"40","6138.89 um","59000 nA","1000","0","30","1000000","0",NA,"0 V","11240","Capture_Slow(80)",NA,"24","0","Grayscale",NA,"Full Screen","MHR.157.BLEED.242",NA,NA,"Vacc 15.0kV Mag x40 WD 6.1mm LensMode 4","1","0","17500000","17500000","0.000","0","0.000",NA,"0","0",NA,NA,"-20.8",NA,"***","15.0kV","x40","6.1mm","4","MHR.157.BLEED.242.txt","242",TRUE,NA,NA,NA,NA
"MHR.2187.BLEED.686(x40)","../../../../../../media/voje-lab/00C67493C6748AA4/BLEED//MHR.2187.BLEED.686(x40).tif","","NONE","tif","MHR.2187.BLEED.686(x40).tif","686(x40)","../../../../../../media/voje-lab/00C67493C6748AA4/BLEED//MHR.2187.BLEED.686(x40).txt","TM4000","01-02",NA,"177008-10","TM4000 0001",NA,"tif","MHR.2187.BLEED.686(x40).tif","C:\Mali\Vouchers\","01/28/2019","10:27:23","HD[Windows]","2560x1920","1240.234","BSE-S1","BSE-S1",NA,"15000 Volt","0 Volt",NA,"40","7605.37 um","96000 nA","1000","0","30","1000000","0",NA,"0 V","11240","Capture_Slow(80)",NA,"24","0","Grayscale",NA,"Full Screen","MHR.2187.BLEED.686",NA,NA,"Vacc 15.0kV Mag x40 WD 7.6mm LensMode 4","1","0","17500000","17500000","0.000","0","0.000",NA,"0","0",NA,NA,"-26.3",NA,"***","15.0kV","x40","7.6mm","4","MHR.2187.BLEED.686(x40).txt","686(x40)",TRUE,NA,NA,NA,NA
"MHR.2227.BLEED.686","../../../../../../media/voje-lab/00C67493C6748AA4/BLEED//MHR.2227.BLEED.686.tif","","NONE","tif","MHR.2227.BLEED.686.tif","686","../../../../../../media/voje-lab/00C67493C6748AA4/BLEED//MHR.2227.BLEED.686.txt","TM4000","01-02",NA,"177008-10","TM4000 0001",NA,"tif","MHR.2227.BLEED.686.tif","C:\Mali\Vouchers\","01/29/2019","12:07:43","HD[Windows]","2560x1920","1240.234","BSE-S1","BSE-S1",NA,"15000 Volt","0 Volt",NA,"40","6218.89 um","95000 nA","1000","0","30","1000000","0",NA,"0 V","11240","Capture_Slow(80)",NA,"24","0","Grayscale",NA,"Full Screen","MHR.2227.BLEED.686",NA,NA,"Vacc 15.0kV Mag x40 WD 6.2mm LensMode 4","1","0","17500000","17500000","0.000","0","0.000",NA,"0","0",NA,NA,"-38.7",NA,"***","15.0kV","x40","6.2mm","4","MHR.2227.BLEED.686.txt","686",TRUE,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MHR.2679.BLEED.1323","../../../../../../media/voje-lab/00C67493C6748AA4/BLEED//MHR.2679.BLEED.1323.tif","","NONE","tif","MHR.2679.BLEED.1323.tif","1323","../../../../../../media/voje-lab/00C67493C6748AA4/BLEED//MHR.2679.BLEED.1323.txt","TM4000","01-02",NA,"177008-10","TM4000 0001",NA,"tif","MHR.2679.BLEED.1323.tif","C:\Mali\Vouchers\","05/20/2019","10:28:44","HD[Windows]","2560x1920","1240.234","BSE-S1","BSE-S1",NA,"15000 Volt","0 Volt",NA,"40","6365.98 um","95000 nA","1000","0","30","1000000","0",NA,"0 V","11240","Capture_Slow(80)",NA,"24","0","Grayscale",NA,"Full Screen","MHR.2679.BLEED.1323",NA,NA,"Vacc 15.0kV Mag x40 WD 6.4mm LensMode 4","1","0","17500000","17500000","0.000","0","0.000",NA,"0","0",NA,NA,"-39.4",NA,"***","15.0kV","x40","6.4mm","4","MHR.2679.BLEED.1323.txt","1323",TRUE,NA,NA,NA,NA
"MHR.2741.BLEED.1323","../../../../../../media/voje-lab/00C67493C6748AA4/BLEED//MHR.2741.BLEED.1323.tif","","NONE","tif","MHR.2741.BLEED.1323.tif","1323","../../../../../../media/voje-lab/00C67493C6748AA4/BLEED//MHR.2741.BLEED.1323.txt","TM4000","01-02",NA,"177008-10","TM4000 0001",NA,"tif","MHR.2741.BLEED.1323.tif","C:\Mali\Vouchers\","05/22/2019","11:00:27","HD[Windows]","2560x1920","1240.234","BSE-S1","BSE-S1",NA,"15000 Volt","0 Volt",NA,"40","6078.98 um","94000 nA","1000","0","30","1000000","0",NA,"0 V","11240","Capture_Slow(80)",NA,"24","0","Grayscale",NA,"Full Screen","MHR.2741.BLEED.1323",NA,NA,"Vacc 15.0kV Mag x40 WD 6.1mm LensMode 4","1","0","17500000","17500000","0.000","0","0.000",NA,"0","0",NA,NA,"-44.1",NA,"***","15.0kV","x40","6.1mm","4","MHR.2741.BLEED.1323.txt","1323",TRUE,NA,NA,NA,NA
"MHR.293.BLEED.244","../../../../../../media/voje-lab/00C67493C6748AA4/BLEED//MHR.293.BLEED.244.tif","","NONE","tif","MHR.293.BLEED.244.tif","244","../../../../../../media/voje-lab/00C67493C6748AA4/BLEED//MHR.293.BLEED.244.txt","TM4000","01-02",NA,"177008-10","TM4000 0001",NA,"tif","MHR.293.BLEED.244.tif","C:\Mali\Vouchers\","04/30/2018","10:22:27","HD[Windows]","2560x1920","1240.234","BSE","BSE",NA,"15000 Volt","0 Volt",NA,"40","7616.93 um","60000 nA","1000","0","30","1000000","0",NA,"0 V","11240","Capture_Slow(80)",NA,"24","0","Grayscale",NA,"Full Screen","MHR.293.BLEED.244",NA,NA,"Vacc 15.0kV Mag x40 WD 7.6mm LensMode 4","1","0","17500000","17500000","0.000","0","0.000",NA,"0","0",NA,NA,"141.9",NA,"***","15.0kV","x40","7.6mm","4","MHR.293.BLEED.244.txt","244",TRUE,NA,NA,NA,NA
"MHR.365.BLEED.244","../../../../../../media/voje-lab/00C67493C6748AA4/BLEED//MHR.365.BLEED.244.tif","","NONE","tif","MHR.365.BLEED.244.tif","244","../../../../../../media/voje-lab/00C67493C6748AA4/BLEED//MHR.365.BLEED.244.txt","TM4000","01-02",NA,"177008-10","TM4000 0001",NA,"tif","MHR.365.BLEED.244.tif","C:\Mali\Vouchers\","05/03/2018","11:13:20","HD[Windows]","2560x1920","1240.234","BSE","BSE",NA,"15000 Volt","0 Volt",NA,"40","5950.99 um","59000 nA","1000","0","30","1000000","0",NA,"0 V","11240","Capture_Slow(80)",NA,"24","0","Grayscale",NA,"Full Screen","MHR.365.BLEED.244",NA,NA,"Vacc 15.0kV Mag x40 WD 6.0mm LensMode 4","1","0","17500000","17500000","0.000","0","0.000",NA,"0","0",NA,NA,"102.9",NA,"***","15.0kV","x40","6.0mm","4","MHR.365.BLEED.244.txt","244",TRUE,NA,NA,NA,NA
"MHR.6125.BLEED.242","../../../../../../media/voje-lab/00C67493C6748AA4/BLEED//MHR.6125.BLEED.242.tif","","NONE","tif","MHR.6125.BLEED.242.tif","242","../../../../../../media/voje-lab/00C67493C6748AA4/BLEED//MHR.6125.BLEED.242.txt","TM4000","01-02",NA,"177008-10","TM4000 0001",NA,"tif","MHR.6125.BLEED.242.tif","C:\Mali\Vouchers\","09/08/2020","14:02:02","HD[Windows]","2560x1920","1240.234","BSE-S1","BSE-S1",NA,"15000 Volt","0 Volt",NA,"40","5819.03 um","55000 nA","1000","0","30","1000000","0",NA,"0 V","11240","Capture_Slow(80)",NA,"24","0","Grayscale",NA,"Full Screen","MHR.6125.BLEED.242",NA,NA,"Vacc 15.0kV Mag x40 WD 5.8mm LensMode 4","1","0","17500000","17500000","0.000","0","0.000",NA,"0","0",NA,NA,"-46.4",NA,"***","15.0kV","x40","5.8mm","4","MHR.6125.BLEED.242.txt","242",TRUE,NA,NA,NA,NA
"MHR.6135.BLEED.244","../../../../../../media/voje-lab/00C67493C6748AA4/BLEED//MHR.6135.BLEED.244.tif","","NONE","tif","MHR.6135.BLEED.244.tif","244","../../../../../../media/voje-lab/00C67493C6748AA4/BLEED//MHR.6135.BLEED.244.txt","TM4000","01-02",NA,"177008-10","TM4000 0001",NA,"tif","MHR.6135.BLEED.244.tif","C:\Mali\Vouchers\","09/08/2020","14:55:42","HD[Windows]","2560x1920","1240.234","BSE-S1","BSE-S1",NA,"15000 Volt","0 Volt",NA,"40","6341.96 um","55000 nA","1000","0","30","1000000","0",NA,"0 V","11240","Capture_Slow(80)",NA,"24","0","Grayscale",NA,"Full Screen","MHR.6135.BLEED.244",NA,NA,"Vacc 15.0kV Mag x40 WD 6.3mm LensMode 4","1","0","17500000","17500000","0.000","0","0.000",NA,"0","0",NA,NA,"-41.1",NA,"***","15.0kV","x40","6.3mm","4","MHR.6135.BLEED.244.txt","244",TRUE,NA,NA,NA,NA
