DATE;SPECIMEN NR;NR OF PICS;AV;MAGNIFICATION;FORMATION;COMMENTS 
1/22/18;233CV;2;15v;x30;NKBS;
1/22/18;234CC;2;15v;x30;NKBS;
1/22/18;191CC;2;15v;x30;NKBS;
1/22/18;190CV;2;15v;x30 (1) & x35 (2);NKBS;
1/22/18;235CC;2;15v;x30 (1) & x35 (2);NKBS;
1/22/18;194CV;2;15v;x30;NKBS;
1/22/18;195CC;2;15v;x30;NKBS;
1/22/18;230CC;2;15v;x30;NKBS;
1/22/18;229CV;2;15v;x30;NKBS;
1/22/18;240CV;2;15v;x30;NKBS;
1/23/18;219CV;2;15v;x30;NKBS;
1/23/18;206CC;2;15v;x30;NKBS;
1/23/18;216CV;2;15v;x30;NKBS;
1/23/18;242CV;2;15v;x30;NKBS;
1/23/18;202CV;2;15v;x30;NKBS;
1/23/18;211CV;2;15v;x30;NKBS;
1/23/18;209CV;2;15v;x30;NKBS;
1/23/18;210CC;2;15v;x30;NKBS;
1/24/18;224CC;2;15v;x30;NKBS;
1/24/18;188CV;2;15v;x30;NKBS;
1/24/18;189CC;2;15v;x30;NKBS;
1/24/18;208CV;2;15v;x30;NKBS;
1/24/18;207CV;2;15v;x30 (1) & x35 (2);NKBS;
1/24/18;225CV;2;15v;x30;NKBS;
1/24/18;226CC;2;15v;x30;NKBS;
1/24/18;203CV;2;15v;x30;NKBS;
1/24/18;204CV;2;15v;x30;NKBS;
1/29/18;311F;2;15v;x30;NKBS;
1/29/18;034CV;2;15v;x30;NKBS;
1/29/18;035CC;2;15v;x30;NKBS;
1/29/18;132CV;2;15v;x30;NKBS;
1/29/18;133CC;2;15v;x30;NKBS;
1/29/18;033CC;2;15v;x30;NKBS;
1/29/18;037CV;2;15v;x30;NKBS;
1/29/18;028CC;2;15v;x30;NKBS;
1/30/18;386CV;2;15v;x30;NKBS;
1/30/18;398CV;2;15v;x30;NKBS;
1/30/18;391CV;2;15v;x30;NKBS;
1/30/18;388CV;2;15v;x30;NKBS;
1/30/18;397CV;2;15v;X35;NKBS;
1/30/18;383CV;2;15v;x30;NKBS;
1/30/18;384CC;2;15v;x30;NKBS;
1/30/18;387CV;2;15v;X35;NKBS;
1/30/18;389CV;2;15v;x30;NKBS;
1/30/18;392CV;2;15v;x30;NKBS;
1/30/18;396CV;2;15v;x30;NKBS;
1/31/18;054CV;2;15v;x30;NKBS;
1/31/18;055CC;2;15v;x30;NKBS;
1/31/18;057CC;2;15v;x30;NKBS;
1/31/18;052CC;2;15v;x30;NKBS;
1/31/18;058CV;2;15v;x30;NKBS;
1/31/18;062CV;2;15v;X35;NKBS;
1/31/18;026CV;2;15v;x35 (1) & x30 (2);NKBS;
1/31/18;022CV;2;15v;x30;NKBS;
1/31/18;001CC;2;15v;x30;NKBS;
1/31/18;023CV;2;15v;x30 (1) & x35 (2);NKBS;
1/31/18;024CC ;2;15v;x30;NKBS;
1/31/18;013CC;2;15v;x30;NKBS;
1/31/18;005CV;2;15v;x30;NKBS;
1/31/18;006CC;3;15v;x30;NKBS;
02/01/2018;151CC;2;15v;x30;NKBS;
02/01/2018;162CV;2;15v;x30;NKBS;
02/01/2018;154CV;3;15v;x30 (1,3) & x35 (2);NKBS;
02/01/2018;140CV;2;15v;x30;NKBS;
02/01/2018;161CC;2;15v;x30;NKBS;
02/01/2018;159CV;2;15v;x30;NKBS;
02/01/2018;142CC;2;15v;x30;NKBS;
02/01/2018;171CV;2;15v;x30;NKBS;
02/01/2018;164CV;2;15v;x30;NKBS;
02/01/2018;165CC;2;15v;x30;NKBS;
02/02/2018;166CV;2;15v;x30;NKBS;
02/02/2018;155CV;2;15v;x30;NKBS;
02/02/2018;156CV;2;15v;x30;NKBS;
02/05/2018;146CV;2;15v;x30;NKBS;
02/05/2018;147CC;2;15v;x30;NKBS;
02/05/2018;173CC;2;15v;x30;NKBS;
02/05/2018;160CV;2;15v;x30;NKBS;
02/05/2018;169CV;2;15v;x30;NKBS;
02/05/2018;138CV;2;15v;x30;NKBS;
02/05/2018;139CC;2;15v;x30;NKBS;
02/05/2018;137CV;2;15v;x30;NKBS;
02/05/2018;174CV;2;15v;x30;NKBS;
02/05/2018;175CC;2;15v;x30;NKBS;
02/05/2018;135CV;2;15v;x35;NKBS;
02/05/2018;136CC;2;15v;x30;NKBS;
02/05/2018;163CV;2;15v;x30;NKBS;
02/06/2018;134CC;2;15v;x30;NKBS;
02/06/2018;150CV;2;10v;x30;NKBS;
02/06/2018;168CC;2;10v;x30;NKBS;
02/06/2018;157CV;2;10v;x30;NKBS;
02/06/2018;073CC;2;10v;x30;NKBS;
02/06/2018;071CV;2;10v;x30;NKBS;
02/06/2018;066CV;2;10v;x30;NKBS;
02/06/2018;067CV;2;10v;x30;NKBS;
02/06/2018;070CV;2;10v;x30;NKBS;
02/06/2018;181CC;2;10v;x30;NKBS;
02/06/2018;179CV;2;10v;x30;NKBS;
02/06/2018;329CC;2;10v;x30;NKBS;
02/06/2018;312F;3;10v;x30;NKBS;
02/08/2018;321CC;3;10v;x30;NKBS;
02/08/2018;304CC;2;10v;x30;NKBS;
02/08/2018;322CV;2;10v;x30;NKBS;
02/08/2018;326CV;2;10v;x30;NKBS;
02/08/2018;327CC;2;10v;x30;NKBS;
02/08/2018;325CC;2;10v;x30;NKBS;
02/08/2018;330CV;2;10v;x30;NKBS;
02/08/2018;317CV;2;10v;x30;NKBS;
02/08/2018;306CC;2;10v;x30;NKBS;
02/08/2018;309CV;2;10v;x30;NKBS;
02/08/2018;310CC;2;10v;x30;NKBS;
02/08/2018;300CV;2;10v;x30;NKBS;
02/12/2018;319CC;2;10v;x30;NKBS;
02/12/2018;307CV;2;10v;x30;NKBS;
02/12/2018;178CV;2;10v;x30;NKBS;
02/12/2018;176CV;3;10v;x30;NKBS;
02/12/2018;403CV;2;10v;x30;NKLS;
02/12/2018;400CV;2;10v;x30;NKLS;
02/12/2018;401CC;2;10v;x30;NKLS;
02/12/2018;407CC;2;10v;x30;NKLS;
02/12/2018;404CV;2;10v;x30;NKLS;
02/12/2018;410CC;2;10v;x30;NKLS;
02/12/2018;412F;2;10v;x30;NKLS;
02/12/2018;411CV;1;10v;x30;NKLS;
2/13/18;418CV;3;10v;x30;NKLS;
2/13/18;428CC;2;10v;x30;NKLS;
2/13/18;600CV;2;10v;x30;TEWKESBURY;
2/13/18;602CV;2;10v;x30;TEWKESBURY;
2/13/18;604CC;2;10v;x30;TEWKESBURY;
2/13/18;605CV;2;10v;x30;TEWKESBURY;
2/13/18;606CC;2;10v;x30;TEWKESBURY;
2/13/18;607CV;2;10v;x30;TEWKESBURY;
2/13/18;608CV;3;10v;x30;TEWKESBURY;
2/13/18;609CV;2;10v;x30;TEWKESBURY;
2/13/18;610CV;2;10v;x30;TEWKESBURY;
2/16/18;612CV;2;10v;x30;TEWKESBURY;
2/16/18;701CC;2;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
2/16/18;702CV;2;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
2/16/18;704CV;2;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
2/16/18;705CC;2;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
2/16/18;706CC;2;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
2/16/18;707CC;2;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
2/16/18;709CC;3;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
2/16/18;710CV;2;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
2/16/18;711CC;2;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
2/16/18;715CC;2;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
2/16/18;800F;2;10v;x30;TAINUI SB;
2/16/18;801CC;2;10v;x30;TAINUI SB;
2/19/18;802CV;3;10v;x30;TAINUI SB;
2/19/18;803CV;2;10v;x30;TAINUI SB;
2/19/18;804F;2;10v;x30;TAINUI SB;
2/19/18;805CV;2;10v;x30;TAINUI SB;
2/19/18;806CV;2;10v;x30;TAINUI SB;
2/19/18;808CC;2;10v;x30;TAINUI SB;
2/19/18;809F;2;10v;x30;TAINUI SB;
2/19/18;811F;3;10v;x30;TAINUI SB;
2/19/18;429CC;2;10v;x30;NKLS;
2/19/18;430F;3;10v;x30;NKLS;
2/19/18;431CC;2;10v;x30;NKLS;
2/19/18;433CC;3;10v;x30;NKLS;
2/19/18;435CC;2;10v;x30;NKLS;
2/20/18;614CC;2;10v;x30;TEWKESBURY;
2/20/18;615CV;3;10v;x30;TEWKESBURY;
2/20/18;616CV;2;10v;x30;TEWKESBURY;
2/20/18;617CV;2;10v;x30;TEWKESBURY;
2/20/18;812CC;2;10v;x30;TAINUI SB;
2/20/18;1000CV;3;10v;x30;UPPER KAI-IWI SB;
2/20/18;1001CC;2;10v;x30;UPPER KAI-IWI SB;
2/20/18;1002F;2;10v;x30;UPPER KAI-IWI SB;
2/20/18;1003CV;3;10v;x30;UPPER KAI-IWI SB;
2/20/18;1004CV;2;10v;x30;UPPER KAI-IWI SB;
2/20/18;1005CV;2;10v;x30;UPPER KAI-IWI SB;
2/20/18;1006CC;2;10v;x30;UPPER KAI-IWI SB;
2/20/18;1007CV;2;10v;x30;UPPER KAI-IWI SB;
2/20/18;1008CC;2;10v;x30;UPPER KAI-IWI SB;
2/20/18;1009CV;3;10v;x30;UPPER KAI-IWI SB;
2/21/18;130CV;2;10v;x30;NKBS;
2/21/18;131CC;2;10v;x30;NKBS;
2/21/18;122CV;2;10v;x30;NKBS;
2/21/18;123CC;2;10v;x30;NKBS;
2/21/18;126CV;2;10v;x30;NKBS;
2/21/18;129CV;2;10v;x30;NKBS;
2/21/18;127CV;2;10v;x30;NKBS;
2/21/18;128CV;2;10v;x30;NKBS;
2/21/18;334CV;2;10v;x30;NKBS;
2/22/18;333CV;2;10v;x30;NKBS;
2/22/18;232CV ;2;10v;x30;NKBS;
2/22/18;1100CV;3;10v;x30;WAIPURU SB;
2/22/18;1101CC;3;10v;x30;WAIPURU SB;
2/22/18;1102CV;3;10v;x30;WAIPURU SB;
2/22/18;1103CC;3;10v;x30;WAIPURU SB;
2/22/18;1104CV;2;10v;x30;WAIPURU SB;
2/22/18;1105CC;2;10v;x30;WAIPURU SB;
2/22/18;1106CV;2;10v;x30;WAIPURU SB;
2/22/18;1107CC;3;10v;x30;WAIPURU SB;
2/22/18;1108CV;3;10v;x30;WAIPURU SB;
2/22/18;1109CC;3;10v;x30;WAIPURU SB;
2/23/18;113CV;2;10v;x30;NKBS;
2/23/18;117CC;2;10v;x30;NKBS;
2/23/18;112CV;2;10v;x30;NKBS;
2/23/18;328CV;2;10v;x30;NKBS;
2/23/18;313CV;2;10v;x30;NKBS;
2/23/18;314CV;2;10v;x30;NKBS;
2/23/18;323CV;2;10v;x30;NKBS;
2/23/18;324CC;3;10v;x30;NKBS;
2/23/18;315CV;3;10v;x30;NKBS;
2/23/18;316CC;3;10v;x30;NKBS;
