folder;subfolder;sub.subfolder;image;ext;fileName;specimenNR
Sara1;NONE;NA;002_CV_1_15v_x30;tif;002_CV_1_15v_x30.tif;002CV
Sara1;NONE;NA;002_CV_1_15v_x30;txt;002_CV_1_15v_x30.txt;002CV
Sara1;NONE;NA;003_CC_1_15v_x30;tif;003_CC_1_15v_x30.tif;003CC
Sara1;NONE;NA;003_CC_1_15v_x30;txt;003_CC_1_15v_x30.txt;003CC
Sara1;NONE;NA;004_CV_1_15v_x30;tif;004_CV_1_15v_x30.tif;004CV
Sara1;NONE;NA;004_CV_1_15v_x30;txt;004_CV_1_15v_x30.txt;004CV
Sara1;NONE;NA;004_CV_2_15v_x30;tif;004_CV_2_15v_x30.tif;004CV
Sara1;NONE;NA;004_CV_2_15v_x30;txt;004_CV_2_15v_x30.txt;004CV
Sara1;NONE;NA;005_CV_1_15v_x30;tif;005_CV_1_15v_x30.tif;005CV
Sara1;NONE;NA;005_CV_1_15v_x30;txt;005_CV_1_15v_x30.txt;005CV
Sara1;KAH;NONE;001_CC_1_15v_x30;tif;001_CC_1_15v_x30.tif;001CC
Sara1;KAH;NONE;001_CC_1_15v_x30;txt;001_CC_1_15v_x30.txt;001CC
Sara1;KAH;NONE;001_CC_2_15v_x30;tif;001_CC_2_15v_x30.tif;001CC
Sara1;KAH;NONE;001_CC_2_15v_x30;txt;001_CC_2_15v_x30.txt;001CC
Sara1;NKBS;NONE;038i_CV_1_15v_x30;tif;038i_CV_1_15v_x30.tif;038iCV
Sara1;NKBS;NONE;038i_CV_1_15v_x30;txt;038i_CV_1_15v_x30.txt;038iCV
Sara1;NKBS;NONE;038i_CV_2_15v_x30;tif;038i_CV_2_15v_x30.tif;038iCV
Sara1;NKBS;NONE;038i_CV_2_15v_x30;txt;038i_CV_2_15v_x30.txt;038iCV
Sara1;NKBS;NONE;039i_CV_1_15v_x30;tif;039i_CV_1_15v_x30.tif;039iCV
Sara1;NKBS;NONE;039i_CV_1_15v_x30;txt;039i_CV_1_15v_x30.txt;039iCV
Sara1;NKBS;NONE;039i_CV_2_15v_x30;tif;039i_CV_2_15v_x30.tif;039iCV
Sara1;NKBS;NONE;039i_CV_2_15v_x30;txt;039i_CV_2_15v_x30.txt;039iCV
Sara1;NKBS;NONE;040i_CV_1_15v_x30;tif;040i_CV_1_15v_x30.tif;040iCV
Sara1;NKBS;NONE;040i_CV_1_15v_x30;txt;040i_CV_1_15v_x30.txt;040iCV
Sara1;NKBS;NONE;040i_CV_2_15v_x30;tif;040i_CV_2_15v_x30.tif;040iCV
Sara1;NKBS;NONE;040i_CV_2_15v_x30;txt;040i_CV_2_15v_x30.txt;040iCV
Sara1;NKBS;NONE;041i_CV_1_15v_x30;tif;041i_CV_1_15v_x30.tif;041iCV
Sara1;NKBS;NONE;041i_CV_1_15v_x30;txt;041i_CV_1_15v_x30.txt;041iCV
Sara2;NONE;NA;002_CV_1_15v_x30;tif;002_CV_1_15v_x30.tif;002CV
Sara2;NONE;NA;002_CV_1_15v_x30;txt;002_CV_1_15v_x30.txt;002CV
Sara2;NONE;NA;003_CC_1_15v_x30;tif;003_CC_1_15v_x30.tif;003CC
Sara2;NONE;NA;003_CC_1_15v_x30;txt;003_CC_1_15v_x30.txt;003CC
Sara2;NONE;NA;004_CV_1_15v_x30;tif;004_CV_1_15v_x30.tif;004CV
Sara2;NONE;NA;004_CV_1_15v_x30;txt;004_CV_1_15v_x30.txt;004CV
Sara2;NONE;NA;004_CV_2_15v_x30;tif;004_CV_2_15v_x30.tif;004CV
Sara2;NONE;NA;004_CV_2_15v_x30;txt;004_CV_2_15v_x30.txt;004CV
Sara2;NONE;NA;005_CV_1_15v_x30;tif;005_CV_1_15v_x30.tif;005CV
Sara2;NONE;NA;005_CV_1_15v_x30;txt;005_CV_1_15v_x30.txt;005CV
Sara2;KAH;NONE;001_CC_1_15v_x30;tif;001_CC_1_15v_x30.tif;001CC
Sara2;KAH;NONE;001_CC_1_15v_x30;txt;001_CC_1_15v_x30.txt;001CC
Sara2;KAH;NONE;001_CC_2_15v_x30;tif;001_CC_2_15v_x30.tif;001CC
Sara2;KAH;NONE;001_CC_2_15v_x30;txt;001_CC_2_15v_x30.txt;001CC
Sara2;NKBS;NONE;038i_CV_1_15v_x30;tif;038i_CV_1_15v_x30.tif;038iCV
Sara2;NKBS;NONE;038i_CV_1_15v_x30;txt;038i_CV_1_15v_x30.txt;038iCV
Sara2;NKBS;NONE;038i_CV_2_15v_x30;tif;038i_CV_2_15v_x30.tif;038iCV
Sara2;NKBS;NONE;038i_CV_2_15v_x30;txt;038i_CV_2_15v_x30.txt;038iCV
Sara2;NKBS;NONE;039i_CV_1_15v_x30;tif;039i_CV_1_15v_x30.tif;039iCV
Sara2;NKBS;NONE;039i_CV_1_15v_x30;txt;039i_CV_1_15v_x30.txt;039iCV
Sara2;NKBS;NONE;039i_CV_2_15v_x30;tif;039i_CV_2_15v_x30.tif;039iCV
Sara2;NKBS;NONE;039i_CV_2_15v_x30;txt;039i_CV_2_15v_x30.txt;039iCV
Sara2;NKBS;NONE;040i_CV_1_15v_x30;tif;040i_CV_1_15v_x30.tif;040iCV
Sara2;NKBS;NONE;040i_CV_1_15v_x30;txt;040i_CV_1_15v_x30.txt;040iCV
Sara2;NKBS;NONE;040i_CV_2_15v_x30;tif;040i_CV_2_15v_x30.tif;040iCV
Sara2;NKBS;NONE;040i_CV_2_15v_x30;txt;040i_CV_2_15v_x30.txt;040iCV
Sara2;NKBS;NONE;041i_CV_1_15v_x30;tif;041i_CV_1_15v_x30.tif;041iCV
Sara2;NKBS;NONE;041i_CV_1_15v_x30;txt;041i_CV_1_15v_x30.txt;041iCV
Sara2;NKBS;NONE;041i_CV_2_15v_x30;tif;041i_CV_2_15v_x30.tif;041iCV
Sara2;NKBS;NONE;041i_CV_2_15v_x30;txt;041i_CV_2_15v_x30.txt;041iCV
Sara2;NKBS;NONE;042i_CV_1_15v_x30;tif;042i_CV_1_15v_x30.tif;042iCV
Sara2;NKBS;NONE;042i_CV_1_15v_x30;txt;042i_CV_1_15v_x30.txt;042iCV
Sara2;NKBS;NONE;042i_CV_2_15v_x30;tif;042i_CV_2_15v_x30.tif;042iCV
Sara2;NKBS;NONE;042i_CV_2_15v_x30;txt;042i_CV_2_15v_x30.txt;042iCV
Sara2;NKBS;NONE;042i_CV_3_15v_x30;tif;042i_CV_3_15v_x30.tif;042iCV
Sara2;NKBS;NONE;042i_CV_3_15v_x30;txt;042i_CV_3_15v_x30.txt;042iCV
Sara2;NKBS;NONE;043i_CC_1_15v_x30;tif;043i_CC_1_15v_x30.tif;043iCC
Sara2;NKBS;NONE;043i_CC_1_15v_x30;txt;043i_CC_1_15v_x30.txt;043iCC
Sara2;NKBS;NONE;043i_CC_2_15v_x30;tif;043i_CC_2_15v_x30.tif;043iCC
Sara2;NKBS;NONE;043i_CC_2_15v_x30;txt;043i_CC_2_15v_x30.txt;043iCC
Sara2;NKBS;NONE;044i_CC_1_15v_x30;tif;044i_CC_1_15v_x30.tif;044iCC
Sara2;NKBS;NONE;044i_CC_1_15v_x30;txt;044i_CC_1_15v_x30.txt;044iCC
Sara2;NKBS;NONE;044i_CC_2_15v_x30;tif;044i_CC_2_15v_x30.tif;044iCC
Sara2;NKBS;NONE;044i_CC_2_15v_x30;txt;044i_CC_2_15v_x30.txt;044iCC
Sara2;NKBS;NONE;045i_CV_1_15v_x30;tif;045i_CV_1_15v_x30.tif;045iCV
