"dateImaged","Enterer","collectionType","boxNumber","possibleSpeicesID","surface","formation","specimenNR","pictureNumber","fileName","SignalName","Magnification","Comment","Vacc","Mag"
"08/03/2022","Sara",NA,NA,NA,NA,"NKBS","0000001_CC",1,"0000001_CC_1_15v_x30_BSE","BSE",30,"001_CC_1_15v_x30","15.0kV","x30"
"01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000001_CC",1,"0000001_CC_1_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"08/03/2022","Sara",NA,NA,NA,NA,"NKBS","0000001_CC",2,"0000001_CC_2_15v_x30_BSE","BSE",30,"001_CC_2_15v_x30","15.0kV","x30"
"01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000001_CC",2,"0000001_CC_2_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"08/03/2022","Sara",NA,NA,NA,NA,"NKBS","0000002_CV",1,"0000002_CV_1_15v_x30_BSE","BSE",30,"002_CV_1_15v_x30","15.0kV","x30"
"08/03/2022","Sara",NA,NA,NA,NA,"NKBS","0000003_CC",1,"0000003_CC_1_15v_x30_BSE","BSE",30,"003_CC_1_15v_x30","15.0kV","x30"
"01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000004_CC",1,"0000004_CC_1_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000004_CC",2,"0000004_CC_2_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"08/03/2022","Sara",NA,NA,NA,NA,"NKBS","0000004_CV",1,"0000004_CV_1_15v_x30_BSE","BSE",30,"004_CV_1_15v_x30","15.0kV","x30"
"08/03/2022","Sara",NA,NA,NA,NA,"NKBS","0000004_CV",2,"0000004_CV_2_15v_x30_BSE","BSE",30,"004_CV_2_15v_x30","15.0kV","x30"
"08/03/2022","Sara",NA,NA,NA,NA,"NKBS","0000005_CV",1,"0000005_CV_1_15v_x30_BSE","BSE",30,"005_CV_1_15v_x30","15.0kV","x30"
"01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000005_CV",1,"0000005_CV_1_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000005_CV",2,"0000005_CV_2_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000006_CC",1,"0000006_CC_1_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000006_CC",2,"0000006_CC_2_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000006_CC",3,"0000006_CC_3_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000008_CV",1,"0000008_CV_1_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000008_CV",2,"0000008_CV_2_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000009_CC",1,"0000009_CC_1_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000009_CC",2,"0000009_CC_2_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000010_OT",1,"0000010_OT_1_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000010_OT",2,"0000010_OT_2_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000012_CC",1,"0000012_CC_1_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000012_CC",2,"0000012_CC_2_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000013_CC",1,"0000013_CC_1_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000013_CC",2,"0000013_CC_2_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000015_CV",1,"0000015_CV_1_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000015_CV",2,"0000015_CV_2_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000017_CV",1,"0000017_CV_1_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000017_CV",2,"0000017_CV_2_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000018_CC",1,"0000018_CC_1_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000018_CC",2,"0000018_CC_2_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"03/09/2018","Mali",NA,NA,NA,NA,"NKBS","000001i_CC",1,"000001i_CC_1_05v_x30_BSE","BSE",30,"MNH_002_BLEED39","5.0kV","x30"
"03/09/2018","Mali",NA,NA,NA,NA,"NKBS","000001i_CC",2,"000001i_CC_2_05v_x30_BSE","BSE",30,"MNH_002_BLEED39","5.0kV","x30"
"01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000022_CV",1,"0000022_CV_1_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000022_CV",2,"0000022_CV_2_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000023_CV",1,"0000023_CV_1_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000024_CC",1,"0000024_CC_1_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000024_CC",2,"0000024_CC_2_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000024_CC",3,"0000024_CC_3_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000025_CC",1,"0000025_CC_1_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000025_CC",2,"0000025_CC_2_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000026_CV",2,"0000026_CV_2_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/29/2018","Mali",NA,NA,NA,NA,"NKBS","0000028_CC",1,"0000028_CC_1_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/29/2018","Mali",NA,NA,NA,NA,"NKBS","0000028_CC",2,"0000028_CC_2_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"10/10/2018","Mali",NA,NA,NA,NA,"NKBS","000002i_CV",1,"000002i_CV_1_15v_x30_BSE","BSE",30,"MHR.1308.BLEED.819","15.0kV","x30"
"10/10/2018","Mali",NA,NA,NA,NA,"NKBS","000002i_CV",2,"000002i_CV_2_15v_x30_BSE","BSE",30,"MHR.1308.BLEED.819","15.0kV","x30"
"01/29/2018","Mali",NA,NA,NA,NA,"NKBS","0000030_CC",1,"0000030_CC_1_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/29/2018","Mali",NA,NA,NA,NA,"NKBS","0000030_CC",2,"0000030_CC_2_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/29/2018","Mali",NA,NA,NA,NA,"NKBS","0000031_CV",2,"0000031_CV_2_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/29/2018","Mali",NA,NA,NA,NA,"NKBS","0000032_CC",1,"0000032_CC_1_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/29/2018","Mali",NA,NA,NA,NA,"NKBS","0000033_CC",1,"0000033_CC_1_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/29/2018","Mali",NA,NA,NA,NA,"NKBS","0000033_CC",2,"0000033_CC_2_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/29/2018","Mali",NA,NA,NA,NA,"NKBS","0000034_CV",1,"0000034_CV_1_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/29/2018","Mali",NA,NA,NA,NA,"NKBS","0000034_CV",2,"0000034_CV_2_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/29/2018","Mali",NA,NA,NA,NA,"NKBS","0000035_CC",1,"0000035_CC_1_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/29/2018","Mali",NA,NA,NA,NA,"NKBS","0000035_CC",2,"0000035_CC_2_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/30/2018","Mali",NA,NA,NA,NA,"NKBS","0000036_CV",1,"0000036_CV_1_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/30/2018","Mali",NA,NA,NA,NA,"NKBS","0000036_CV",2,"0000036_CV_2_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/29/2018","Mali",NA,NA,NA,NA,"NKBS","0000037_CV",1,"0000037_CV_1_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/29/2018","Mali",NA,NA,NA,NA,"NKBS","0000037_CV",2,"0000037_CV_2_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"01/29/2018","Mali",NA,NA,NA,NA,"NKBS","0000039_CV",1,"0000039_CV_1_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"10/10/2018","Mali",NA,NA,NA,NA,"NKBS","000003i_CV",1,"000003i_CV_1_15v_x30_BSE","BSE",30,"MHR.1308.BLEED.819","15.0kV","x30"
"10/10/2018","Mali",NA,NA,NA,NA,"NKBS","000003i_CV",2,"000003i_CV_2_15v_x30_BSE","BSE",30,"MHR.1308.BLEED.819","15.0kV","x30"
