"fileName","dateImaged","Enterer","collectionType","boxNumber","possibleSpeicesID","surface","formation","specimenNR","pictureNumber","SignalName","Magnification","Comment","Vacc","Mag","fileName.tif","path.tif"
"0000001_CC_1_15v_x30_BSE","08/03/2022","Sara",NA,NA,NA,NA,"NKBS","0000001_CC",1,"BSE",30,"001_CC_1_15v_x30","15.0kV","x30","0000001_CC_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/KAH/001_CC_1_15v_x30.tif"
"0000001_CC_1_15v_x30_BSE","08/03/2022","Sara",NA,NA,NA,NA,"NKBS","0000001_CC",1,"BSE",30,"001_CC_1_15v_x30","15.0kV","x30","0000001_CC_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/001_CC_1_15v_x30_BSE.tif"
"0000001_CC_1_15v_x30_BSE","01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000001_CC",1,"BSE",30,NA,"15.0kV","x30","0000001_CC_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/KAH/001_CC_1_15v_x30.tif"
"0000001_CC_1_15v_x30_BSE","01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000001_CC",1,"BSE",30,NA,"15.0kV","x30","0000001_CC_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/001_CC_1_15v_x30_BSE.tif"
"0000001_CC_2_15v_x30_BSE","08/03/2022","Sara",NA,NA,NA,NA,"NKBS","0000001_CC",2,"BSE",30,"001_CC_2_15v_x30","15.0kV","x30","0000001_CC_2_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/001_CC_2_15v_x30_BSE.tif"
"0000001_CC_2_15v_x30_BSE","08/03/2022","Sara",NA,NA,NA,NA,"NKBS","0000001_CC",2,"BSE",30,"001_CC_2_15v_x30","15.0kV","x30","0000001_CC_2_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/KAH/001_CC_2_15v_x30.tif"
"0000001_CC_2_15v_x30_BSE","01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000001_CC",2,"BSE",30,NA,"15.0kV","x30","0000001_CC_2_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/001_CC_2_15v_x30_BSE.tif"
"0000001_CC_2_15v_x30_BSE","01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000001_CC",2,"BSE",30,NA,"15.0kV","x30","0000001_CC_2_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/KAH/001_CC_2_15v_x30.tif"
"0000002_CV_1_15v_x30_BSE","08/03/2022","Sara",NA,NA,NA,NA,"NKBS","0000002_CV",1,"BSE",30,"002_CV_1_15v_x30","15.0kV","x30","0000002_CV_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/002_CV_1_15v_x30.tif"
"0000003_CC_1_15v_x30_BSE","08/03/2022","Sara",NA,NA,NA,NA,"NKBS","0000003_CC",1,"BSE",30,"003_CC_1_15v_x30","15.0kV","x30","0000003_CC_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/003_CC_1_15v_x30.tif"
