imageFileFormation;bryoMetadataFormation;formationName;formationAbbreviation;country;basin;latitude;longitude;localityReference;localityDOI;ageRange;ageRangeUnits;minAge;minAgeUnits;maxAge;maxAgeUnits;ageRangeReference;ageRangeDOI;notes
NONE;;;;;;;;;;;;;;;;;;unorganized images
Nukumaru Brown Sand | NKBS;NKBS;Nukumaru Brown Sand;NKBS;New Zealand;Wanganui Basin;;;Carter, R.M. and Naish, T.R., 1998. A review of Wanganui Basin, New Zealand: global reference section for shallow marine, Plio–Pleistocene (2.5–0 Ma) cyclostratigraphy. Sedimentary Geology, 122(1-4), pp.37-52.;https://doi.org/10.1016/S0037-0738(98)00097-9;0.06;mya;1.97;mya;2.03;mya;Liow, L.H., Di Martino, E., Krzeminska, M., Ramsfjell, M., Rust, S., Taylor, P.D. and Voje, K.L., 2017. Relative size predicts competitive outcome through 2 million years. Ecology letters, 20(8), pp.981-988.;https://doi.org/10.1111/ele.12795;
Nukumaru Limestone | NKLS;NKLS;Nukumaru Limestone;NKLS;New Zealand;Wanganui Basin;;;Carter, R.M. and Naish, T.R., 1998. A review of Wanganui Basin, New Zealand: global reference section for shallow marine, Plio–Pleistocene (2.5–0 Ma) cyclostratigraphy. Sedimentary Geology, 122(1-4), pp.37-52.;https://doi.org/10.1016/S0037-0738(98)00097-9;0.21;mya;2.08;mya;2.29;mya;Liow, L.H., Di Martino, E., Krzeminska, M., Ramsfjell, M., Rust, S., Taylor, P.D. and Voje, K.L., 2017. Relative size predicts competitive outcome through 2 million years. Ecology letters, 20(8), pp.981-988.;https://doi.org/10.1111/ele.12795;
Tewkesbury | TEWKESBURY;TEWKESBURY;Tewkesbury;;New Zealand;Wanganui Basin;;;Carter, R.M. and Naish, T.R., 1998. A review of Wanganui Basin, New Zealand: global reference section for shallow marine, Plio–Pleistocene (2.5–0 Ma) cyclostratigraphy. Sedimentary Geology, 122(1-4), pp.37-52.;https://doi.org/10.1016/S0037-0738(98)00097-9;0;mya;1.4;mya;1.4;mya;Seward, D., 1978. Palaeosalinities and palaeotemperatures from carbon and oxygen isotopes of carbonate shells in three Quaternary formations, Wanganui Basin, New Zealand. Palaeogeography, Palaeoclimatology, Palaeoecology, 23, pp.47-55.;https://doi.org/10.1016/0031-0182(78)90081-0;
Shakespeare Basal Cliffsand | SHCSBSB;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;Shakespeare Basal Cliff Sand;SHCSBSB;New Zealand;Wanganui Basin;;;Carter, R.M. and Naish, T.R., 1998. A review of Wanganui Basin, New Zealand: global reference section for shallow marine, Plio–Pleistocene (2.5–0 Ma) cyclostratigraphy. Sedimentary Geology, 122(1-4), pp.37-52.;https://doi.org/10.1016/S0037-0738(98)00097-9;0.03;mya;0.4;mya;0.43;mya;Liow, L.H., Di Martino, E., Krzeminska, M., Ramsfjell, M., Rust, S., Taylor, P.D. and Voje, K.L., 2017. Relative size predicts competitive outcome through 2 million years. Ecology letters, 20(8), pp.981-988.;https://doi.org/10.1111/ele.12795;
Tainui SB | TAINUI SB;TAINUI SB;Tainui Shell Bed;Tainui SB;New Zealand;Wanganui Basin;;;Carter, R.M. and Naish, T.R., 1998. A review of Wanganui Basin, New Zealand: global reference section for shallow marine, Plio–Pleistocene (2.5–0 Ma) cyclostratigraphy. Sedimentary Geology, 122(1-4), pp.37-52.;https://doi.org/10.1016/S0037-0738(98)00097-9;0;mya;0.4;mya;0.4;mya;Seward, D., 1978. Palaeosalinities and palaeotemperatures from carbon and oxygen isotopes of carbonate shells in three Quaternary formations, Wanganui Basin, New Zealand. Palaeogeography, Palaeoclimatology, Palaeoecology, 23, pp.47-55.;https://doi.org/10.1016/0031-0182(78)90081-0;
Upper Kai-Iwi SB | Upper Kai-iwi | UPPER KAI-IWI SB;UPPER KAI-IWI SB;Upper Kai-Iwi Shell Bed;Upper Kai-Iwi SB;New Zealand;Wanganui Basin;;;Carter, R.M. and Naish, T.R., 1998. A review of Wanganui Basin, New Zealand: global reference section for shallow marine, Plio–Pleistocene (2.5–0 Ma) cyclostratigraphy. Sedimentary Geology, 122(1-4), pp.37-52.;https://doi.org/10.1016/S0037-0738(98)00097-9;0.06;mya;0.62;mya;0.68;mya;Liow, L.H., Di Martino, E., Krzeminska, M., Ramsfjell, M., Rust, S., Taylor, P.D. and Voje, K.L., 2017. Relative size predicts competitive outcome through 2 million years. Ecology letters, 20(8), pp.981-988.;https://doi.org/10.1111/ele.12795;
Waipuru SB;WAIPURU SB;Waipuru Shell Bed;Waipuru SB;New Zealand;Wanganui Basin;;;Carter, R.M. and Naish, T.R., 1998. A review of Wanganui Basin, New Zealand: global reference section for shallow marine, Plio–Pleistocene (2.5–0 Ma) cyclostratigraphy. Sedimentary Geology, 122(1-4), pp.37-52.;https://doi.org/10.1016/S0037-0738(98)00097-9;0;mya;1.4;mya;1.4;mya;Seward, D., 1978. Palaeosalinities and palaeotemperatures from carbon and oxygen isotopes of carbonate shells in three Quaternary formations, Wanganui Basin, New Zealand. Palaeogeography, Palaeoclimatology, Palaeoecology, 23, pp.47-55.;https://doi.org/10.1016/0031-0182(78)90081-0;
Pukenni Limestone;PUNNEKI LIMESTONE;Pukenni Limestone;;;;;;;;;;;;;;;;
KAH;;;;;;;;;;0;mya;0;mya;0;mya;;;
;KAH1750;;;;;;;;;0;mya;0;mya;0;mya;;;
;KAH1705;;;;;;;;;0;mya;0;mya;0;mya;;;
