path;folder;subfolder;image;ext;fileName;specimenNR;formation
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/002_CV_1_15v_x30.tif;Sara;NONE;002_CV_1_15v_x30;tif;002_CV_1_15v_x30.tif;002CV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/002_CV_1_15v_x30.txt;Sara;NONE;002_CV_1_15v_x30;txt;002_CV_1_15v_x30.txt;002CV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/003_CC_1_15v_x30.tif;Sara;NONE;003_CC_1_15v_x30;tif;003_CC_1_15v_x30.tif;003CC;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/003_CC_1_15v_x30.txt;Sara;NONE;003_CC_1_15v_x30;txt;003_CC_1_15v_x30.txt;003CC;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/004_CV_1_15v_x30.tif;Sara;NONE;004_CV_1_15v_x30;tif;004_CV_1_15v_x30.tif;004CV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/004_CV_1_15v_x30.txt;Sara;NONE;004_CV_1_15v_x30;txt;004_CV_1_15v_x30.txt;004CV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/004_CV_2_15v_x30.tif;Sara;NONE;004_CV_2_15v_x30;tif;004_CV_2_15v_x30.tif;004CV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/004_CV_2_15v_x30.txt;Sara;NONE;004_CV_2_15v_x30;txt;004_CV_2_15v_x30.txt;004CV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/005_CV_1_15v_x30.tif;Sara;NONE;005_CV_1_15v_x30;tif;005_CV_1_15v_x30.tif;005CV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/005_CV_1_15v_x30.txt;Sara;NONE;005_CV_1_15v_x30;txt;005_CV_1_15v_x30.txt;005CV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/KAH/001_CC_1_15v_x30.tif;Sara;KAH;001_CC_1_15v_x30;tif;001_CC_1_15v_x30.tif;001CC;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/KAH/001_CC_1_15v_x30.txt;Sara;KAH;001_CC_1_15v_x30;txt;001_CC_1_15v_x30.txt;001CC;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/KAH/001_CC_2_15v_x30.tif;Sara;KAH;001_CC_2_15v_x30;tif;001_CC_2_15v_x30.tif;001CC;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/KAH/001_CC_2_15v_x30.txt;Sara;KAH;001_CC_2_15v_x30;txt;001_CC_2_15v_x30.txt;001CC;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/038i_CV_1_15v_x30.tif;Sara;NKBS;038i_CV_1_15v_x30;tif;038i_CV_1_15v_x30.tif;038iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/038i_CV_1_15v_x30.txt;Sara;NKBS;038i_CV_1_15v_x30;txt;038i_CV_1_15v_x30.txt;038iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/038i_CV_2_15v_x30.tif;Sara;NKBS;038i_CV_2_15v_x30;tif;038i_CV_2_15v_x30.tif;038iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/038i_CV_2_15v_x30.txt;Sara;NKBS;038i_CV_2_15v_x30;txt;038i_CV_2_15v_x30.txt;038iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/039i_CV_1_15v_x30.tif;Sara;NKBS;039i_CV_1_15v_x30;tif;039i_CV_1_15v_x30.tif;039iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/039i_CV_1_15v_x30.txt;Sara;NKBS;039i_CV_1_15v_x30;txt;039i_CV_1_15v_x30.txt;039iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/039i_CV_2_15v_x30.tif;Sara;NKBS;039i_CV_2_15v_x30;tif;039i_CV_2_15v_x30.tif;039iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/039i_CV_2_15v_x30.txt;Sara;NKBS;039i_CV_2_15v_x30;txt;039i_CV_2_15v_x30.txt;039iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/040i_CV_1_15v_x30.tif;Sara;NKBS;040i_CV_1_15v_x30;tif;040i_CV_1_15v_x30.tif;040iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/040i_CV_1_15v_x30.txt;Sara;NKBS;040i_CV_1_15v_x30;txt;040i_CV_1_15v_x30.txt;040iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/040i_CV_2_15v_x30.tif;Sara;NKBS;040i_CV_2_15v_x30;tif;040i_CV_2_15v_x30.tif;040iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/040i_CV_2_15v_x30.txt;Sara;NKBS;040i_CV_2_15v_x30;txt;040i_CV_2_15v_x30.txt;040iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/041i_CV_1_15v_x30.tif;Sara;NKBS;041i_CV_1_15v_x30;tif;041i_CV_1_15v_x30.tif;041iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/041i_CV_1_15v_x30.txt;Sara;NKBS;041i_CV_1_15v_x30;txt;041i_CV_1_15v_x30.txt;041iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/041i_CV_2_15v_x30.tif;Sara;NKBS;041i_CV_2_15v_x30;tif;041i_CV_2_15v_x30.tif;041iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/041i_CV_2_15v_x30.txt;Sara;NKBS;041i_CV_2_15v_x30;txt;041i_CV_2_15v_x30.txt;041iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/042i_CV_1_15v_x30.tif;Sara;NKBS;042i_CV_1_15v_x30;tif;042i_CV_1_15v_x30.tif;042iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/042i_CV_1_15v_x30.txt;Sara;NKBS;042i_CV_1_15v_x30;txt;042i_CV_1_15v_x30.txt;042iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/042i_CV_2_15v_x30.tif;Sara;NKBS;042i_CV_2_15v_x30;tif;042i_CV_2_15v_x30.tif;042iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/042i_CV_2_15v_x30.txt;Sara;NKBS;042i_CV_2_15v_x30;txt;042i_CV_2_15v_x30.txt;042iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/042i_CV_3_15v_x30.tif;Sara;NKBS;042i_CV_3_15v_x30;tif;042i_CV_3_15v_x30.tif;042iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/042i_CV_3_15v_x30.txt;Sara;NKBS;042i_CV_3_15v_x30;txt;042i_CV_3_15v_x30.txt;042iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/043i_CC_1_15v_x30.tif;Sara;NKBS;043i_CC_1_15v_x30;tif;043i_CC_1_15v_x30.tif;043iCC;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/043i_CC_1_15v_x30.txt;Sara;NKBS;043i_CC_1_15v_x30;txt;043i_CC_1_15v_x30.txt;043iCC;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/043i_CC_2_15v_x30.tif;Sara;NKBS;043i_CC_2_15v_x30;tif;043i_CC_2_15v_x30.tif;043iCC;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/043i_CC_2_15v_x30.txt;Sara;NKBS;043i_CC_2_15v_x30;txt;043i_CC_2_15v_x30.txt;043iCC;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/044i_CC_1_15v_x30.tif;Sara;NKBS;044i_CC_1_15v_x30;tif;044i_CC_1_15v_x30.tif;044iCC;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/044i_CC_1_15v_x30.txt;Sara;NKBS;044i_CC_1_15v_x30;txt;044i_CC_1_15v_x30.txt;044iCC;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/044i_CC_2_15v_x30.tif;Sara;NKBS;044i_CC_2_15v_x30;tif;044i_CC_2_15v_x30.tif;044iCC;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/044i_CC_2_15v_x30.txt;Sara;NKBS;044i_CC_2_15v_x30;txt;044i_CC_2_15v_x30.txt;044iCC;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/045i_CV_1_15v_x30.tif;Sara;NKBS;045i_CV_1_15v_x30;tif;045i_CV_1_15v_x30.tif;045iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/045i_CV_1_15v_x30.txt;Sara;NKBS;045i_CV_1_15v_x30;txt;045i_CV_1_15v_x30.txt;045iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/046i_CV_1_15v_x30.tif;Sara;NKBS;046i_CV_1_15v_x30;tif;046i_CV_1_15v_x30.tif;046iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/046i_CV_1_15v_x30.txt;Sara;NKBS;046i_CV_1_15v_x30;txt;046i_CV_1_15v_x30.txt;046iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/046i_CV_2_15v_x30.tif;Sara;NKBS;046i_CV_2_15v_x30;tif;046i_CV_2_15v_x30.tif;046iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/046i_CV_2_15v_x30.txt;Sara;NKBS;046i_CV_2_15v_x30;txt;046i_CV_2_15v_x30.txt;046iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/047i_CV_1_15v_x30.tif;Sara;NKBS;047i_CV_1_15v_x30;tif;047i_CV_1_15v_x30.tif;047iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/047i_CV_1_15v_x30.txt;Sara;NKBS;047i_CV_1_15v_x30;txt;047i_CV_1_15v_x30.txt;047iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/048i_CC_1_15v_x30.tif;Sara;NKBS;048i_CC_1_15v_x30;tif;048i_CC_1_15v_x30.tif;048iCC;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/048i_CC_1_15v_x30.txt;Sara;NKBS;048i_CC_1_15v_x30;txt;048i_CC_1_15v_x30.txt;048iCC;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/048i_CC_2_15v_x30.tif;Sara;NKBS;048i_CC_2_15v_x30;tif;048i_CC_2_15v_x30.tif;048iCC;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/048i_CC_2_15v_x30.txt;Sara;NKBS;048i_CC_2_15v_x30;txt;048i_CC_2_15v_x30.txt;048iCC;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/048i_CV_1_15v_x30.tif;Sara;NKBS;048i_CV_1_15v_x30;tif;048i_CV_1_15v_x30.tif;048iCV;NKBS
