"fileName","path.x","folder","formation","image.x","ext","specimenNR.x","number.x","colonyCurve.x","pictureNumber.x","AV.x","magnification.x","backscatter.x","newFormation","path.y","InstructName","SemVersion","SDMVersion","SerialNumber","DataNumber","SampleName","Format","Directory","Date","Time","Media","DataSize","PixelSize","SignalName","DisplaySignalName","SEDetSetting","AcceleratingVoltage","DecelerationVoltage","DecelerationMode","Magnification","WorkingDistance","EmissionCurrent","PhotoSize","MagnificationDisplay","Vacuum","MicronMarker","SubMagnification","SubSignalName","SpecimenBias","Condencer1","ScanSpeed","CaptureSpeed_Integration","CalibrationScanSpeed","ImgEnhance","ColorMode","ColorPalette","ScreenMode","Comment","KeyWord1","KeyWord2","Condition","DataDisplayCombine","StageType","StagePositionX","StagePositionY","StagePositionR","StagePositionZ","StagePositionT","FocusDepth","DynamicFocus","TiltCompensation","ImageShiftX","ImageShiftY","RasterRotation","MagneticSample","UserName","Vacc","Mag","WD","LensMode","fileName.y","image.y","specimenNR.y","number.y","colonyCurve.y","pictureNumber.y","AV.y","magnification.y","backscatter.y"
"001_CC_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/001_CC_1_15v_x30_BSE.tif","Stegs","NONE","001_CC_1_15v_x30_BSE","tif","001CC",1+0i,"CC",1,"15v","x30","BSE","NKBS","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/001_CC_1_15v_x30_BSE.txt","TM4000","01-Feb",NA,"177008-10","TM4000 0001",NA,"tif","C:\Stegs\Mali SEM\","01/31/2018","11:35:40","HD[Windows]","2560x1920",1653.646,"BSE","BSE",NA,"15000 Volt","0 Volt",NA,30,"6185.56 um","52000 nA",1000,0,30,1000000,0,NA,"0 V",9230,"Capture_Slow(80)",NA,24,0,"Grayscale",NA,"Full Screen",NA,NA,NA,"Vacc 15.0kV Mag x30 WD 6.2mm LensMode 3",1,0,17500000,17500000,0,0,0,NA,0,0,NA,NA,-80.7,NA,"***","15.0kV","x30","6.2mm",3,"001_CC_1_15v_x30_BSE.txt","001_CC_1_15v_x30_BSE","001CC",1+0i,"CC",1,"15v","x30","BSE"
"001_CC_1_15v_x30.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/KAH/001_CC_1_15v_x30.tif","Sara","KAH","001_CC_1_15v_x30","tif","001CC",1+0i,"CC",1,"15v","x30",NA,"NKBS","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/KAH/001_CC_1_15v_x30.txt","TM4000","01-Feb",NA,"177008-10","TM4000 0001",NA,"tif","C:\Sara\","08/03/2022","10:15:49","HD[Windows]","2560x1920",1653.646,"BSE","BSE",NA,"15000 Volt","0 Volt",NA,30,"16847.17 um","53000 nA",1000,0,30,1000000,0,NA,"0 V",9230,"Capture_Slow(80)",NA,24,0,"Grayscale",NA,"Full Screen","001_CC_1_15v_x30",NA,NA,"Vacc 15.0kV Mag x30 WD 16.8mm LensMode 3",1,0,17500000,17500000,0,0,0,NA,0,0,NA,NA,54.8,NA,"***","15.0kV","x30","16.8mm",3,"001_CC_1_15v_x30.txt","001_CC_1_15v_x30","001CC",1+0i,"CC",1,"15v","x30",NA
"001_CC_2_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/001_CC_2_15v_x30_BSE.tif","Stegs","NONE","001_CC_2_15v_x30_BSE","tif","001CC",1+0i,"CC",2,"15v","x30","BSE","NKBS","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/001_CC_2_15v_x30_BSE.txt","TM4000","01-Feb",NA,"177008-10","TM4000 0001",NA,"tif","C:\Stegs\Mali SEM\","01/31/2018","11:39:00","HD[Windows]","2560x1920",1653.646,"BSE","BSE",NA,"15000 Volt","0 Volt",NA,30,"6346.52 um","52000 nA",1000,0,30,1000000,0,NA,"0 V",9230,"Capture_Slow(80)",NA,24,0,"Grayscale",NA,"Full Screen",NA,NA,NA,"Vacc 15.0kV Mag x30 WD 6.3mm LensMode 3",1,0,17500000,17500000,0,0,0,NA,0,0,NA,NA,-21.2,NA,"***","15.0kV","x30","6.3mm",3,"001_CC_2_15v_x30_BSE.txt","001_CC_2_15v_x30_BSE","001CC",1+0i,"CC",2,"15v","x30","BSE"
"001_CC_2_15v_x30.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/KAH/001_CC_2_15v_x30.tif","Sara","KAH","001_CC_2_15v_x30","tif","001CC",1+0i,"CC",2,"15v","x30",NA,"NKBS","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/KAH/001_CC_2_15v_x30.txt","TM4000","01-Feb",NA,"177008-10","TM4000 0001",NA,"tif","C:\Sara\","08/03/2022","10:35:30","HD[Windows]","2560x1920",1653.646,"BSE","BSE",NA,"15000 Volt","0 Volt",NA,30,"19742.22 um","54000 nA",1000,0,30,1000000,0,NA,"0 V",9230,"Capture_Slow(80)",NA,24,0,"Grayscale",NA,"Full Screen","001_CC_2_15v_x30",NA,NA,"Vacc 15.0kV Mag x30 WD 19.7mm LensMode 3",1,0,17500000,17500000,0,0,0,NA,0,0,NA,NA,84.7,NA,"***","15.0kV","x30","19.7mm",3,"001_CC_2_15v_x30.txt","001_CC_2_15v_x30","001CC",1+0i,"CC",2,"15v","x30",NA
"001i_CC_1_5v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/001i_CC_1_5v_x30_BSE.tif","Stegs","NONE","001i_CC_1_5v_x30_BSE","tif","001iCC",0+1i,"CC",1,"5v","x30","BSE","NKBS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"001i_CC_2_5v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/001i_CC_2_5v_x30_BSE.tif","Stegs","NONE","001i_CC_2_5v_x30_BSE","tif","001iCC",0+1i,"CC",2,"5v","x30","BSE","NKBS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"001i_CV_1_5v_x30_BSE.tif",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/001i_CC_1_5v_x30_BSE.txt","TM4000","01-Feb",NA,"177008-10","TM4000 0001",NA,"tif","C:\Stegs\Mali SEM\","03/09/2018","10:41:43","HD[Windows]","2560x1920",1653.646,"BSE","BSE",NA,"5000 Volt","0 Volt",NA,30,"7928.28 um","59000 nA",1000,0,1,1000000,0,NA,"0 V",11240,"Capture_Slow(80)",NA,24,0,"Grayscale",NA,"Full Screen","MNH_002_BLEED39",NA,NA,"Vacc 5.0kV Mag x30 WD 7.9mm LensMode 4",1,0,17500000,17500000,0,0,0,NA,0,0,NA,NA,16.4,NA,"***","5.0kV","x30","7.9mm",4,"001i_CC_1_5v_x30_BSE.txt","001i_CC_1_5v_x30_BSE","001iCC",0+1i,"CC",1,"5v","x30","BSE"
"001i_CV_2_5v_x30_BSE.tif",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/001i_CC_2_5v_x30_BSE.txt","TM4000","01-Feb",NA,"177008-10","TM4000 0001",NA,"tif","C:\Stegs\Mali SEM\","03/09/2018","10:45:03","HD[Windows]","2560x1920",1653.646,"BSE","BSE",NA,"5000 Volt","0 Volt",NA,30,"7485.8 um","59000 nA",1000,0,1,1000000,0,NA,"0 V",11240,"Capture_Slow(80)",NA,24,0,"Grayscale",NA,"Full Screen","MNH_002_BLEED39",NA,NA,"Vacc 5.0kV Mag x30 WD 7.5mm LensMode 4",1,0,17500000,17500000,0,0,0,NA,0,0,NA,NA,-4,NA,"***","5.0kV","x30","7.5mm",4,"001i_CC_2_5v_x30_BSE.txt","001i_CC_2_5v_x30_BSE","001iCC",0+1i,"CC",2,"5v","x30","BSE"
"002_CV_1_15v_x30.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/002_CV_1_15v_x30.tif","Sara","NONE","002_CV_1_15v_x30","tif","002CV",2+0i,"CV",1,"15v","x30",NA,"NKBS","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/002_CV_1_15v_x30.txt","TM4000","01-Feb",NA,"177008-10","TM4000 0001",NA,"tif","C:\Sara\","08/03/2022","11:13:30","HD[Windows]","2560x1920",1653.646,"BSE","BSE",NA,"15000 Volt","0 Volt",NA,30,"8322.35 um","52000 nA",1000,0,30,1000000,0,NA,"0 V",9230,"Capture_Slow(80)",NA,24,0,"Grayscale",NA,"Full Screen","002_CV_1_15v_x30",NA,NA,"Vacc 15.0kV Mag x30 WD 8.3mm LensMode 3",1,0,17500000,17500000,0,0,0,NA,0,0,NA,NA,-179.5,NA,"***","15.0kV","x30","8.3mm",3,"002_CV_1_15v_x30.txt","002_CV_1_15v_x30","002CV",2+0i,"CV",1,"15v","x30",NA
"002i_CV_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs2/Nukumaru Brown Sand/002i_CV_1_15v_x30_BSE.tif","Stegs2","Nukumaru Brown Sand","002i_CV_1_15v_x30_BSE","tif","002iCV",0+2i,"CV",1,"15v","x30","BSE","NKBS","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs2/Nukumaru Brown Sand/002i_CV_1_15v_x30_BSE.txt","TM4000","01-Feb",NA,"177008-10","TM4000 0001",NA,"tif","C:\Stegs2\Nukumaru Brown Sand\","10/10/2018","14:23:49","HD[Windows]","2560x1920",1653.646,"BSE","BSE",NA,"15000 Volt","0 Volt",NA,30,"6278.97 um","108000 nA",1000,0,30,1000000,0,NA,"0 V",11240,"Capture_Slow(80)",NA,24,0,"Grayscale",NA,"Full Screen","MHR.1308.BLEED.819",NA,NA,"Vacc 15.0kV Mag x30 WD 6.3mm LensMode 4",1,0,17500000,17500000,0,0,0,NA,0,0,NA,NA,179.3,NA,"***","15.0kV","x30","6.3mm",4,"002i_CV_1_15v_x30_BSE.txt","002i_CV_1_15v_x30_BSE","002iCV",0+2i,"CV",1,"15v","x30","BSE"
