"dateImaged","Enterer","collectionType","boxNumber","possibleSpeicesID","surface","formation","specimenNR","pictureNumber","fileName","SignalName","Magnification","Comment","Vacc","Mag"
"01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000023_CV",2,"0000023_CV_2_15v_x35_BSE","BSE",35,NA,"15.0kV","x35"
"01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000026_CV",1,"0000026_CV_1_15v_x35_BSE","BSE",35,NA,"15.0kV","x35"
"01/29/2018","Mali",NA,NA,NA,NA,"NKBS","0000031_CV",1,"0000031_CV_1_15v_x35_BSE","BSE",35,NA,"15.0kV","x35"
"01/29/2018","Mali",NA,NA,NA,NA,"NKBS","0000039_CV",2,"0000039_CV_2_15v_x35_BSE","BSE",35,NA,"15.0kV","x35"
"01/29/2018","Mali",NA,NA,NA,NA,"NKBS","0000039_CV",3,"0000039_CV_3_15v_x35_BSE","BSE",35,NA,"15.0kV","x35"
"01/29/2018","Mali",NA,NA,NA,NA,"NKBS","0000046_CV",2,"0000046_CV_2_15v_x35_BSE","BSE",35,NA,"15.0kV","x35"
"10/24/2018","Mali",NA,NA,NA,NA,"NKBS","000005i_FL",1,"000005i_FL_1_15v_x35_BSE","BSE",35,"MHR.1310.BLEED.218","15.0kV","x35"
"01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000062_CV",1,"0000062_CV_1_15v_x35_BSE","BSE",35,NA,"15.0kV","x35"
"01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000062_CV",2,"0000062_CV_2_15v_x35_BSE","BSE",35,NA,"15.0kV","x35"
"12/18/2017","Mali",NA,NA,NA,NA,"NKBS","0000099_CV",1,"0000099_CV_1_0_15v_x35_BSE","BSE",35,NA,"15.0kV","x35"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12/18/2017","Mali",NA,NA,NA,NA,"NKBS","0000099_CV",2,"0000099_CV_2_15v_x35_BSE","BSE",35,NA,"15.0kV","x35"
"02/05/2018","Mali",NA,NA,NA,NA,"NKBS","0000135_CV",1,"0000135_CV_1_15v_x35_BSE","BSE",35,NA,"15.0kV","x35"
