file_name,SEM_no,bleached,Altnernative codes,magnification,use,BLEED_code,Collection_no,Gene Bank Accession,Genus,HTS Queue,ID confirmed,Identified by,Isolated,Material left,NHM,note,Paper,Preservation,Recieved in Oslo,Scraped,SEM info,Sent by,Sequences Recieved,Species,Bock2018::Author,Bock2018::Full,Sample.Location.Date::Coll_date,Sample.Location.Date::Collection_no,Sample.Location.Date::Collector,Sample.Location.Date::Country,Sample.Location.Date::Cruise details,Sample.Location.Date::Day,Sample.Location.Date::Depth 1,Sample.Location.Date::Depth 2,Sample.Location.Date::Location details,Sample.Location.Date::Month,Sample.Location.Date::Place,Sample.Location.Date::Standardized Lat,Sample.Location.Date::Standardized Long,Sample.Location.Date::Station_id,Sample.Location.Date::Year,Worms::Family,Worms::Order
MHR.157.BLEED.242,MHR.157,no,SRDY77,x50,Y,242,SS03,"MZ677757,MZ678153,OK245035","Steginoporella
",13.12.2018 (RJSO) ,,"Voje, Kjetil L. ",04.07.2018 (LT),,NHMO H 2065,"On ethanol, has been dry.

Mali: ""has other bryozoans""


Qubit: 1.34

Added to queue after 4 pulled 13.12.2018 (RJSO) ",Orr et al. Fall 2021 MS,100% ethanol,3.6.2014,9.4.2018 (RJSO),"MHR.157.BLEED.242	
MHR.158.BLEED.242	
MHR.6125.BLEED.242.tif
MHR.6125.BLEED.242.txt
MHR.6126.BLEED.242.tif
MHR.6126.BLEED.242.txt
MHR.6141.BLEED.242.tif
MHR.6141.BLEED.242.txt
MHR.6142.BLEED.242.tif
MHR.6142.BLEED.242.txt",Seabourne Rust,6.2.2019 (RJSO),magnifica,"(Harmer, 1900)","Steginoporella magnifica (Harmer, 1900)",12/02/2011,SS03,"Smith, Abigail M. ",New Zealand,,12,43,,,2,,-46.87,168.21,,2011,Steginoporellidae,Cheilostomatida
MHR.158.BLEED.242,MHR.158,no,SRDY77,x80,N,242,SS03,"MZ677757,MZ678153,OK245035","Steginoporella
",13.12.2018 (RJSO) ,,"Voje, Kjetil L. ",04.07.2018 (LT),,NHMO H 2065,"On ethanol, has been dry.

Mali: ""has other bryozoans""


Qubit: 1.34

Added to queue after 4 pulled 13.12.2018 (RJSO) ",Orr et al. Fall 2021 MS,100% ethanol,3.6.2014,9.4.2018 (RJSO),"MHR.157.BLEED.242	
MHR.158.BLEED.242	
MHR.6125.BLEED.242.tif
MHR.6125.BLEED.242.txt
MHR.6126.BLEED.242.tif
MHR.6126.BLEED.242.txt
MHR.6141.BLEED.242.tif
MHR.6141.BLEED.242.txt
MHR.6142.BLEED.242.tif
MHR.6142.BLEED.242.txt",Seabourne Rust,6.2.2019 (RJSO),magnifica,"(Harmer, 1900)","Steginoporella magnifica (Harmer, 1900)",12/02/2011,SS03,"Smith, Abigail M. ",New Zealand,,12,43,,,2,,-46.87,168.21,,2011,Steginoporellidae,Cheilostomatida
MHR.6141.BLEED.242,MHR.6141,YES,SRDY77,x40,Y,242,SS03,"MZ677757,MZ678153,OK245035","Steginoporella
",13.12.2018 (RJSO) ,,"Voje, Kjetil L. ",04.07.2018 (LT),,NHMO H 2065,"On ethanol, has been dry.

Mali: ""has other bryozoans""


Qubit: 1.34

Added to queue after 4 pulled 13.12.2018 (RJSO) ",Orr et al. Fall 2021 MS,100% ethanol,3.6.2014,9.4.2018 (RJSO),"MHR.157.BLEED.242	
MHR.158.BLEED.242	
MHR.6125.BLEED.242.tif
MHR.6125.BLEED.242.txt
MHR.6126.BLEED.242.tif
MHR.6126.BLEED.242.txt
MHR.6141.BLEED.242.tif
MHR.6141.BLEED.242.txt
MHR.6142.BLEED.242.tif
MHR.6142.BLEED.242.txt",Seabourne Rust,6.2.2019 (RJSO),magnifica,"(Harmer, 1900)","Steginoporella magnifica (Harmer, 1900)",12/02/2011,SS03,"Smith, Abigail M. ",New Zealand,,12,43,,,2,,-46.87,168.21,,2011,Steginoporellidae,Cheilostomatida
MHR.6142.BLEED.242,MHR.6142,YES,SRDY77,x60,N,242,SS03,"MZ677757,MZ678153,OK245035","Steginoporella
",13.12.2018 (RJSO) ,,"Voje, Kjetil L. ",04.07.2018 (LT),,NHMO H 2065,"On ethanol, has been dry.

Mali: ""has other bryozoans""


Qubit: 1.34

Added to queue after 4 pulled 13.12.2018 (RJSO) ",Orr et al. Fall 2021 MS,100% ethanol,3.6.2014,9.4.2018 (RJSO),"MHR.157.BLEED.242	
MHR.158.BLEED.242	
MHR.6125.BLEED.242.tif
MHR.6125.BLEED.242.txt
MHR.6126.BLEED.242.tif
MHR.6126.BLEED.242.txt
MHR.6141.BLEED.242.tif
MHR.6141.BLEED.242.txt
MHR.6142.BLEED.242.tif
MHR.6142.BLEED.242.txt",Seabourne Rust,6.2.2019 (RJSO),magnifica,"(Harmer, 1900)","Steginoporella magnifica (Harmer, 1900)",12/02/2011,SS03,"Smith, Abigail M. ",New Zealand,,12,43,,,2,,-46.87,168.21,,2011,Steginoporellidae,Cheilostomatida
MHR.294.BLEED.244,MHR.294,NO,SRDY25,x80,Y,244,OS7,"MZ677758,OK245036",Steginoporella,13.12.2018 (RJSO) ,,"Voje, Kjetil L.",04.07.2018 (LT),Yes,NHMO H 2066,"On ethanol, has been dry.

Mali: 244: to cyclostomer < 5%, en Crepidicantha crinispina koloni (10%?) under  Steginoporellaen, en Micropora koloni (5%), en Cosciniopsis vallata koloni < 3% under Steginoporellaen, en anascan under Steginoporellaen < 3% og en cheilo oppå Steginoporellaen (10%)

Qubit: 26.7

Added to queue after 4 pulled 13.12.2018 (RJSO) ",Orr et al. Fall 2021 MS,100% ethanol,3.6.2014,9.4.2018 (RJSO),"MHR.293.BLEED.244	
MHR.294.BLEED.244
MHR.365.BLEED.244.tif
MHR.366.BLEED.244.tif
MHR.6135.BLEED.244.tif
MHR.6135.BLEED.244.txt
MHR.6136.BLEED.244.tif
MHR.6136.BLEED.244.txt",Seabourne Rust,6.2.2019 (RJSO),"magnifica
","(Harmer, 1900)","Steginoporella magnifica (Harmer, 1900)",24/01/2010,OS7,"Smith, Abigail M. ",New Zealand,,24,88,,,1,Otago Shelf,-45.84,170.89,,2010,Steginoporellidae,Cheilostomatida
MHR.365.BLEED.244,MHR.365,YES,SRDY25,x40,Y,244,OS7,"MZ677758,OK245036",Steginoporella,13.12.2018 (RJSO) ,,"Voje, Kjetil L.",04.07.2018 (LT),Yes,NHMO H 2066,"On ethanol, has been dry.

Mali: 244: to cyclostomer < 5%, en Crepidicantha crinispina koloni (10%?) under  Steginoporellaen, en Micropora koloni (5%), en Cosciniopsis vallata koloni < 3% under Steginoporellaen, en anascan under Steginoporellaen < 3% og en cheilo oppå Steginoporellaen (10%)

Qubit: 26.7

Added to queue after 4 pulled 13.12.2018 (RJSO) ",Orr et al. Fall 2021 MS,100% ethanol,3.6.2014,9.4.2018 (RJSO),"MHR.293.BLEED.244	
MHR.294.BLEED.244
MHR.365.BLEED.244.tif
MHR.366.BLEED.244.tif
MHR.6135.BLEED.244.tif
MHR.6135.BLEED.244.txt
MHR.6136.BLEED.244.tif
MHR.6136.BLEED.244.txt",Seabourne Rust,6.2.2019 (RJSO),"magnifica
","(Harmer, 1900)","Steginoporella magnifica (Harmer, 1900)",24/01/2010,OS7,"Smith, Abigail M. ",New Zealand,,24,88,,,1,Otago Shelf,-45.84,170.89,,2010,Steginoporellidae,Cheilostomatida
MHR.366.BLEED.244,MHR.366,YES,SRDY25,x80,N,244,OS7,"MZ677758,OK245036",Steginoporella,13.12.2018 (RJSO) ,,"Voje, Kjetil L.",04.07.2018 (LT),Yes,NHMO H 2066,"On ethanol, has been dry.

Mali: 244: to cyclostomer < 5%, en Crepidicantha crinispina koloni (10%?) under  Steginoporellaen, en Micropora koloni (5%), en Cosciniopsis vallata koloni < 3% under Steginoporellaen, en anascan under Steginoporellaen < 3% og en cheilo oppå Steginoporellaen (10%)

Qubit: 26.7

Added to queue after 4 pulled 13.12.2018 (RJSO) ",Orr et al. Fall 2021 MS,100% ethanol,3.6.2014,9.4.2018 (RJSO),"MHR.293.BLEED.244	
MHR.294.BLEED.244
MHR.365.BLEED.244.tif
MHR.366.BLEED.244.tif
MHR.6135.BLEED.244.tif
MHR.6135.BLEED.244.txt
MHR.6136.BLEED.244.tif
MHR.6136.BLEED.244.txt",Seabourne Rust,6.2.2019 (RJSO),"magnifica
","(Harmer, 1900)","Steginoporella magnifica (Harmer, 1900)",24/01/2010,OS7,"Smith, Abigail M. ",New Zealand,,24,88,,,1,Otago Shelf,-45.84,170.89,,2010,Steginoporellidae,Cheilostomatida
MHR.6135.BLEED.244,MHR.6135,YES,SRDY25,x40,Y,244,OS7,"MZ677758,OK245036",Steginoporella,13.12.2018 (RJSO) ,,"Voje, Kjetil L.",04.07.2018 (LT),Yes,NHMO H 2066,"On ethanol, has been dry.

Mali: 244: to cyclostomer < 5%, en Crepidicantha crinispina koloni (10%?) under  Steginoporellaen, en Micropora koloni (5%), en Cosciniopsis vallata koloni < 3% under Steginoporellaen, en anascan under Steginoporellaen < 3% og en cheilo oppå Steginoporellaen (10%)

Qubit: 26.7

Added to queue after 4 pulled 13.12.2018 (RJSO) ",Orr et al. Fall 2021 MS,100% ethanol,3.6.2014,9.4.2018 (RJSO),"MHR.293.BLEED.244	
MHR.294.BLEED.244
MHR.365.BLEED.244.tif
MHR.366.BLEED.244.tif
MHR.6135.BLEED.244.tif
MHR.6135.BLEED.244.txt
MHR.6136.BLEED.244.tif
MHR.6136.BLEED.244.txt",Seabourne Rust,6.2.2019 (RJSO),"magnifica
","(Harmer, 1900)","Steginoporella magnifica (Harmer, 1900)",24/01/2010,OS7,"Smith, Abigail M. ",New Zealand,,24,88,,,1,Otago Shelf,-45.84,170.89,,2010,Steginoporellidae,Cheilostomatida
MHR.6136.BLEED.244,MHR.6136,YES,SRDY25,x50,N,244,OS7,"MZ677758,OK245036",Steginoporella,13.12.2018 (RJSO) ,,"Voje, Kjetil L.",04.07.2018 (LT),Yes,NHMO H 2066,"On ethanol, has been dry.

Mali: 244: to cyclostomer < 5%, en Crepidicantha crinispina koloni (10%?) under  Steginoporellaen, en Micropora koloni (5%), en Cosciniopsis vallata koloni < 3% under Steginoporellaen, en anascan under Steginoporellaen < 3% og en cheilo oppå Steginoporellaen (10%)

Qubit: 26.7

Added to queue after 4 pulled 13.12.2018 (RJSO) ",Orr et al. Fall 2021 MS,100% ethanol,3.6.2014,9.4.2018 (RJSO),"MHR.293.BLEED.244	
MHR.294.BLEED.244
MHR.365.BLEED.244.tif
MHR.366.BLEED.244.tif
MHR.6135.BLEED.244.tif
MHR.6135.BLEED.244.txt
MHR.6136.BLEED.244.tif
MHR.6136.BLEED.244.txt",Seabourne Rust,6.2.2019 (RJSO),"magnifica
","(Harmer, 1900)","Steginoporella magnifica (Harmer, 1900)",24/01/2010,OS7,"Smith, Abigail M. ",New Zealand,,24,88,,,1,Otago Shelf,-45.84,170.89,,2010,Steginoporellidae,Cheilostomatida
MHR.2217.BLEED.802,MHR.2217,YES,,x40,Y,802,HawkesBayMar2018,,Steginoporella,,,DPG,20.6.2019 (RJSO),,,,,ethanol,14.05.2018,25.1.2019 (RJSO),"MHR.2181.BLEED.802(x40).tif
MHR.2181.BLEED.802(x40).txt
MHR.2182.BLEED.802(x80).tif
MHR.2182.BLEED.802(x80).txt
MHR.2217.BLEED.802.tif
MHR.2217.BLEED.802.txt
MHR.2218.BLEED.802.tif
MHR.2218.BLEED.802.txt",Sadie Mills,,magnifica,"(Harmer, 1900)","Steginoporella magnifica (Harmer, 1900)",03/04/2018,HawkesBayMar2018,"Gordon, D.P.; Liow, L. H.; Schack, C.",New Zealand,,4,0,,,3,Hawkes Bay,-39.639,177.009,,2018,Steginoporellidae,Cheilostomatida
