date,imager,File_name,specimen_no,image_no,mag,use,binomial,notes,collector,taxonID,stationID,lat,long,dateCollected,country,depth,place
Jun 10 2024,DPG,Steginoporella discors NIWA 122574 Z8662 1,NIWA 122574,1,x60,N,Steginoporella discors,,DPG,DPG,Z8662,-34.35667,172.77,Feb 2 1997,New Zealand,54,
Jun 10 2024,DPG,Steginoporella magnifica left and S. discors right NIWA 122574 Z8662,NIWA 122574,2,x30,Y,Steginoporella magnifica,Steginoporella magnifica left and S. discors right; need to rotate,DPG,DPG,Z8662,-34.35667,172.77,Feb 2 1997,New Zealand,54,
Jun 10 2024,DPG,Steginoporella magnifica NIWA 75440 TAN1108.233 1,NIWA 75440,1,x50,N,Steginoporella magnifica,,DPG,DPG,TAN1108/233,-37.602,178.8955,May 31 2011,New Zealand,60,Ranfurly Bank - central / southern
Jun 10 2024,DPG,Steginoporella magnifica NIWA 75440 TAN1108.233 2,NIWA 75440,2,x50,N,Steginoporella magnifica,,DPG,DPG,TAN1108/233,-37.602,178.8955,May 31 2011,New Zealand,60,Ranfurly Bank - central / southern
Jun 10 2024,DPG,Steginoporella magnifica NIWA 75440 TAN1108.233 3,NIWA 75440,3,x50,N,Steginoporella magnifica,,DPG,DPG,TAN1108/233,-37.602,178.8955,May 31 2011,New Zealand,60,Ranfurly Bank - central / southern
Jun 10 2024,DPG,Steginoporella magnifica NIWA 75440 TAN1108.233 4,NIWA 75440,4,x50,N,Steginoporella magnifica,,DPG,DPG,TAN1108/233,-37.602,178.8955,May 31 2011,New Zealand,60,Ranfurly Bank - central / southern
Jun 10 2024,DPG,Steginoporella magnifica NIWA 75440 TAN1108.233 5,NIWA 75440,5,x50,N,Steginoporella magnifica,need to rotate,DPG,DPG,TAN1108/233,-37.602,178.8955,May 31 2011,New Zealand,60,Ranfurly Bank - central / southern
Jun 10 2024,DPG,Steginoporella magnifica NIWA 75440 TAN1108.233 6,NIWA 75440,6,x30,Y,Steginoporella magnifica,need to rotate,DPG,DPG,TAN1108/233,-37.602,178.8955,May 31 2011,New Zealand,60,Ranfurly Bank - central / southern
Jun 10 2024,DPG,Steginoporella magnifica NIWA 75440 TAN1108.233 7,NIWA 75440,7,x30,Y,Steginoporella magnifica,need to rotate,DPG,DPG,TAN1108/233,-37.602,178.8955,May 31 2011,New Zealand,60,Ranfurly Bank - central / southern
Jun 10 2024,DPG,Steginoporella magnifica NIWA 75440 TAN1108.233 8,NIWA 75440,8,x30,Y,Steginoporella magnifica,,DPG,DPG,TAN1108/233,-37.602,178.8955,May 31 2011,New Zealand,60,Ranfurly Bank - central / southern
