specimen_no,locality code,previousSpecimenID
1201CC,TS-2,TS2 #2
1202CC,TS-12,TS12 #8
1203CC,NL-23,NL23 #3
1204CC,TS-12,TS12 #5
1205CC,NL-23,NL23 #5
1206CC,TS-2,TS2 #5
1207CC,TS-12,TS12 #6
1207CV,TS-12,TS12 #6
1208CV,NL-01,NL01 #1
1209CC,NL-01,NL01 #1
1210CC,TS-12,TS12 #4
1211CV,TS-12,TS12 #3
1212CC,TS-12,TS12 #1
1213CC,TS-3,TS3 #1
1214CC,TS-2,TS2 #4
1215CC,TS-2,TS2 #1
1216CC,NL-23,NL23 #2
1217CC,NL-01,NL01 #2
1217CV,NL-01,NL01 #2
1218CV,TS-12,TS12 #7
1219CC,TS-2,TS2 #3
1220CC,NL-23,NL23 #4
1221CC,TS-12,TS12 #2
1222CC,NL-23,NL23 #1
1223F,TS-10,
1224CV,TS-2,
1225CV,TS-2,
1226CV,TS-2,
1227CV,TS-2,
