,id,box_id,box_top,box_left,box_width,box_height,X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22
0,/home/voje-lab/Desktop/NIWA_magnifica_SEM-jpg/Steginoporella magnifica/Steginoporella magnifica NIWA 93133 KWB-Feb B6.jpg,394_97_361_488,394.0,97.0,361.0,488.0,367.0,496.0,400.0,769.0,181.0,403.0,326.0,401.0,196.0,434.0,237.0,620.0,334.0,581.0,401.0,582.0,171.0,677.0,299.0,829.0,217.0,769.0,411.0,670.0,350.0,807.0,190.0,730.0,253.0,803.0,411.0,628.0,410.0,718.0,126.0,504.0,309.0,435.0,134.0,592.0,186.0,642.0,372.0,561.0,96.0,491.0
1,/home/voje-lab/Desktop/NIWA_magnifica_SEM-jpg/Steginoporella magnifica/Steginoporella magnifica NIWA 75440 TAN1108.233 4.jpg,94_562_273_654,94.0,562.0,273.0,654.0,782.0,234.0,734.0,584.0,692.0,81.0,782.0,131.0,693.0,111.0,651.0,307.0,734.0,306.0,777.0,341.0,616.0,339.0,657.0,596.0,615.0,464.0,768.0,463.0,694.0,603.0,613.0,405.0,630.0,533.0,776.0,403.0,755.0,524.0,618.0,156.0,761.0,153.0,606.0,236.0,628.0,308.0,763.0,303.0,600.0,131.0
2,/home/voje-lab/Desktop/NIWA_magnifica_SEM-jpg/Steginoporella magnifica/Steginoporella magnifica NIWA 75440 TAN1108.233 4.jpg,253_814_242_563,253.0,814.0,242.0,563.0,1006.0,374.0,968.0,672.0,922.0,238.0,1002.0,274.0,925.0,272.0,895.0,443.0,953.0,435.0,1001.0,465.0,862.0,496.0,914.0,698.0,876.0,599.0,997.0,569.0,941.0,707.0,869.0,551.0,892.0,650.0,1003.0,521.0,985.0,620.0,862.0,322.0,987.0,301.0,846.0,399.0,865.0,453.0,988.0,436.0,846.0,296.0
3,/home/voje-lab/Desktop/NIWA_magnifica_SEM-jpg/Steginoporella magnifica/Steginoporella magnifica NIWA 98542 KAH0907.15 3.jpg,25_528_388_498,25.0,528.0,388.0,498.0,819.0,178.0,820.0,442.0,671.0,3.0,803.0,49.0,677.0,34.0,658.0,272.0,771.0,262.0,846.0,280.0,605.0,301.0,678.0,455.0,617.0,386.0,853.0,363.0,749.0,449.0,603.0,343.0,640.0,422.0,858.0,321.0,842.0,403.0,593.0,90.0,775.0,73.0,582.0,200.0,627.0,280.0,810.0,252.0,564.0,70.0
4,/home/voje-lab/Desktop/NIWA_magnifica_SEM-jpg/Steginoporella magnifica/Steginoporella magnifica NIWA 98542 KAH0907.15 3.jpg,483_618_366_467,483.0,618.0,366.0,467.0,871.0,614.0,877.0,892.0,721.0,471.0,848.0,501.0,730.0,501.0,738.0,735.0,821.0,712.0,877.0,726.0,683.0,775.0,762.0,919.0,701.0,858.0,896.0,805.0,820.0,906.0,689.0,822.0,726.0,891.0,891.0,764.0,893.0,849.0,656.0,562.0,824.0,526.0,651.0,666.0,701.0,745.0,854.0,696.0,628.0,546.0
5,/home/voje-lab/Desktop/NIWA_magnifica_SEM-jpg/Steginoporella magnifica/Steginoporella magnifica NIWA 98542 KAH0907.15 21.jpg,522_131_206_266,522.0,131.0,206.0,266.0,306.0,617.0,253.0,750.0,250.0,523.0,311.0,558.0,248.0,540.0,208.0,639.0,276.0,643.0,301.0,665.0,171.0,647.0,185.0,739.0,162.0,696.0,289.0,713.0,219.0,747.0,162.0,671.0,170.0,719.0,298.0,691.0,275.0,732.0,195.0,557.0,294.0,570.0,175.0,602.0,188.0,637.0,292.0,646.0,183.0,542.0
6,/home/voje-lab/Desktop/NIWA_magnifica_SEM-jpg/Steginoporella magnifica/Steginoporella magnifica NIWA 98542 KAH0907.15 21.jpg,18_102_184_259,18.0,102.0,184.0,259.0,263.0,107.0,235.0,220.0,203.0,12.0,263.0,43.0,203.0,28.0,175.0,142.0,235.0,143.0,257.0,157.0,138.0,149.0,161.0,232.0,132.0,194.0,249.0,189.0,199.0,225.0,130.0,172.0,143.0,214.0,254.0,172.0,244.0,204.0,153.0,49.0,248.0,54.0,142.0,100.0,158.0,143.0,251.0,141.0,141.0,38.0
7,/home/voje-lab/Desktop/NIWA_magnifica_SEM-jpg/Steginoporella magnifica/Steginoporella magnifica NIWA 98542 KAH0907.15 21.jpg,445_325_198_268,445.0,325.0,198.0,268.0,506.0,559.0,441.0,667.0,474.0,452.0,524.0,498.0,470.0,465.0,417.0,574.0,463.0,587.0,488.0,610.0,374.0,574.0,370.0,649.0,358.0,612.0,468.0,639.0,404.0,656.0,362.0,593.0,360.0,631.0,480.0,625.0,458.0,654.0,417.0,474.0,507.0,505.0,392.0,522.0,395.0,568.0,484.0,592.0,408.0,459.0
8,/home/voje-lab/Desktop/NIWA_magnifica_SEM-jpg/Steginoporella magnifica/Steginoporella magnifica NIWA 98542 KAH0907.15 21.jpg,324_511_194_261,324.0,511.0,194.0,261.0,672.0,426.0,585.0,561.0,661.0,324.0,700.0,371.0,654.0,340.0,579.0,434.0,620.0,454.0,635.0,484.0,551.0,436.0,551.0,555.0,537.0,493.0,611.0,525.0,568.0,564.0,540.0,464.0,541.0,522.0,623.0,506.0,600.0,545.0,602.0,340.0,682.0,377.0,569.0,382.0,567.0,428.0,638.0,462.0,594.0,322.0
9,/home/voje-lab/Desktop/NIWA_magnifica_SEM-jpg/Steginoporella magnifica/Steginoporella magnifica NIWA 98542 KAH0907.15 21.jpg,77_260_195_256,77.0,260.0,195.0,256.0,425.0,160.0,386.0,291.0,360.0,59.0,426.0,90.0,360.0,76.0,331.0,200.0,394.0,199.0,423.0,215.0,295.0,212.0,314.0,293.0,291.0,256.0,413.0,255.0,350.0,292.0,290.0,235.0,298.0,274.0,421.0,236.0,403.0,274.0,308.0,101.0,409.0,103.0,293.0,158.0,312.0,200.0,411.0,197.0,294.0,88.0
10,/home/voje-lab/Desktop/NIWA_magnifica_SEM-jpg/Steginoporella magnifica/Steginoporella magnifica NIWA 98542 KAH0907.15 21.jpg,192_413_179_267,192.0,413.0,179.0,267.0,573.0,292.0,485.0,442.0,537.0,173.0,591.0,223.0,533.0,191.0,473.0,312.0,524.0,325.0,543.0,355.0,444.0,318.0,454.0,427.0,441.0,373.0,516.0,401.0,469.0,444.0,441.0,347.0,446.0,398.0,530.0,379.0,502.0,423.0,477.0,202.0,571.0,232.0,449.0,253.0,454.0,305.0,544.0,331.0,466.0,183.0
11,/home/voje-lab/Desktop/NIWA_magnifica_SEM-jpg/Steginoporella magnifica/Steginoporella magnifica NIWA 98542 KAH0907.15 21.jpg,104_902_212_269,104.0,902.0,212.0,269.0,1085.0,225.0,977.0,338.0,1091.0,116.0,1118.0,171.0,1081.0,129.0,988.0,210.0,1030.0,237.0,1050.0,269.0,960.0,204.0,937.0,309.0,940.0,252.0,1019.0,309.0,955.0,327.0,947.0,226.0,935.0,278.0,1036.0,291.0,1000.0,325.0,1029.0,120.0,1101.0,172.0,987.0,157.0,976.0,201.0,1049.0,249.0,1026.0,102.0
