"boxID","image","colony.id","zooid.id","formation","zh","oh","ow.m","ow.b","mpw.b","cw.m","cw.d","o.side","c.side","ln.zh","ln.mpw.b","ln.cw.m","ln.cw.d","ln.ow.m","ln.oh","ln.o.side","ln.c.side"
"684_1421_393_539","001_CC_1_15v_x30_BSE","001CC","684_1421_393_539_001_CC_1_15v_x30_BSE","NKBS",657.656493229936,0.0502147583832647,422.084341994345,336.670062097412,138.770930967846,433.148671564577,436.891900815126,284.76247460069,268.162064258289,6.48868274824845,4.93282459507156,6.0710810214137,6.07968579793966,6.045205156612,-2.99144630379304,5.65165541032535,5.59159151512465
"442_388_450_686","001_CC_2_15v_x30_BSE","001CC","442_388_450_686_001_CC_2_15v_x30_BSE","NKBS",770.655330539276,0.0464009018047778,456.413091945192,392.229333083985,166.601300778608,460.94281264667,477.197366074106,327.685913298847,311.482307620183,6.64724123150811,5.11560353749703,6.13327398464375,6.16793017066558,6.12339830282014,-3.070436384491,5.79205556820422,5.74134253924749
"707_1472_507_608","001_CC_2_15v_x30_BSE","001CC","707_1472_507_608_001_CC_2_15v_x30_BSE","NKBS",798.354200848413,0.0428250222047005,506.890834000908,432.686357682618,198.911633073322,475.422249692668,540.320070639884,326.26372253199,348.531900380253,6.68255235968508,5.29286067119499,6.16420335587691,6.29216168737438,6.22829566285458,-3.15063271627354,5.78770601915308,5.85372976225315
"478_1143_463_641","001_CC_2_15v_x30_BSE","001CC","478_1143_463_641_001_CC_2_15v_x30_BSE","NKBS",794.595151619478,0.0432464772883266,496.962749534777,431.182782424329,165.839531701665,475.250389613661,522.987775198847,324.65724641528,340.465449829992,6.67783274170001,5.1110206443275,6.16384180117601,6.25955808941095,6.20851507265344,-3.14083949890237,5.78276999940547,5.83031365151318
"212_771_454_593","001_CC_2_15v_x30_BSE","001CC","212_771_454_593_001_CC_2_15v_x30_BSE","NKBS",801.963220833764,0.0497126233514191,441.310402694925,350.538709344026,141.895002156473,367.820264526687,420.614082588936,310.273398737899,351.545819343958,6.68706274750542,4.95508736266111,5.90759440724486,6.04171574485011,6.0897484888391,-3.00149638715557,5.73745384021877,5.86234005650778
"153_1563_465_628","001_CC_2_15v_x30_BSE","001CC","153_1563_465_628_001_CC_2_15v_x30_BSE","NKBS",789.318966676962,0.0435600537899232,498.475493960172,430.832141222796,180.261174392207,527.892921339708,542.733729866412,343.433581143155,330.308808729336,6.67117050616968,5.19440676809765,6.26889346264648,6.29661883109381,6.21155442863519,-3.13361474607142,5.83899373384867,5.8000280009159
"300_726_369_586","001i_CC_1_5v_x30_BSE","001iCC","300_726_369_586_001i_CC_1_5v_x30_BSE","NKBS",658.434452204782,0.0588547251833291,345.452498604923,272.632032053642,146.149107758974,297.926771513796,315.393117504149,280.751637494904,260.006141016862,6.48986497515785,4.98462738657094,5.69684772313288,5.75381985280749,5.84485514780754,-2.83268315651388,5.63747042617467,5.56070525003222
"409_16_431_748","001i_CC_1_5v_x30_BSE","001iCC","409_16_431_748_001i_CC_1_5v_x30_BSE","NKBS",862.202930779541,0.0494272789109767,422.973701382657,360.64695263405,186.935366147701,436.183908320575,435.955983584752,321.846301827827,381.416017772664,6.75949066149485,5.23076292153505,6.07806396248773,6.07754128317188,6.04731000544133,-3.00725280252152,5.77407410807321,5.94389068959086
"589_413_384_661","001i_CC_1_5v_x30_BSE","001iCC","589_413_384_661_001i_CC_1_5v_x30_BSE","NKBS",831.689716564928,0.0552639872015968,373.553770678993,292.372733866008,176.390213419971,390.123580112236,383.736995667382,273.689725073441,425.950717636425,6.72345943444198,5.17269866255503,5.96646356101299,5.9499574108155,5.92306195854565,-2.89563380860452,5.61199507450689,6.05432365327772
"12_1025_422_684","001i_CC_1_5v_x30_BSE","001iCC","12_1025_422_684_001i_CC_1_5v_x30_BSE","NKBS",871.387132974746,0.0492483289891725,437.741846490205,356.439463370316,217.878030541241,315.393117504149,386.49105238409,305.519591392761,387.551349788214,6.77008634765138,5.38393541328443,5.75381985280749,5.95710871739492,6.08162934504208,-3.0108798410935,5.72201390550069,5.95984835559647
"332_1333_402_697","001i_CC_1_5v_x30_BSE","001iCC","332_1333_402_697_001i_CC_1_5v_x30_BSE","NKBS",877.132171896452,0.0572806701861859,399.343343410697,291.103327672607,185.083496934785,277.355384719003,329.326802194974,299.461134620031,411.982319636533,6.77665769013467,5.22080705804004,5.62529966120012,5.79705057749133,5.98982155666481,-2.85979205622037,5.70198464158916,6.02098043492515
