fromDataset;imageDiff;folder;formation;dates;notes;;newFormation
imageFiles;004CC;Stegs;NONE;NA;004CV in bryoMeta;;NKBS
imageFiles;008CV;Stegs;NONE;NA;NOT in bryoMeta;;NKBS
imageFiles;009CC;Stegs;NONE;NA;NOT in bryoMeta;;NKBS
imageFiles;010F;Stegs;NONE;NA;NOT in bryoMeta;;NKBS
imageFiles;012CC;Stegs;NONE;NA;012CV in bryoMeta;;NKBS
imageFiles;015CV;Stegs;NONE;NA;NOT in bryoMeta;;NKBS
imageFiles;017CV;Stegs;NONE;NA;NOT in bryoMeta;;NKBS
imageFiles;018CC;Stegs;NONE;NA;NOT in bryoMeta;;NKBS
imageFiles;025CC;Stegs;NONE;NA;NOT in bryoMeta;;NKBS
imageFiles;030CC;Stegs;NONE;NA;NOT in bryoMeta;;NKBS
imageFiles;031CV;Stegs;NONE;NA;NOT in bryoMeta;;NKBS
imageFiles;032CC;Stegs;NONE;NA;NOT in bryoMeta;;NKBS
imageFiles;036CV;Stegs;NONE;NA;NOT in bryoMeta;;NKBS
imageFiles;037iCV;Stegs;NONE;NA;NOT in bryoMeta;;NKBS
imageFiles;039CV;Stegs;NONE;NA;NOT in bryoMeta;;NKBS
imageFiles;040CV;Stegs;NONE;NA;NOT in bryoMeta;;NKBS
imageFiles;041CV;Stegs;NONE;NA;NOT in bryoMeta;;NKBS
imageFiles;042CV;Stegs;NONE;NA;NOT in bryoMeta;;NKBS
imageFiles;044CV;Stegs;NONE;NA;NOT in bryoMeta;;NKBS
imageFiles;046CV;Stegs;NONE;NA;NOT in bryoMeta;;NKBS
imageFiles;047CC;Stegs;NONE;NA;NOT in bryoMeta;;NKBS
imageFiles;049CC;Stegs;NONE;NA;NOT in bryoMeta;;NKBS
imageFiles;050CV;Stegs;NONE;NA;NOT in bryoMeta;;NKBS
imageFiles;060CV;Stegs;NONE;NA;NOT in bryoMeta;;NKBS
imageFiles;061S;Stegs;NONE;NA;NOT in bryoMeta;;NKBS
imageFiles;064CV;Stegs;NONE;NA;NOT in bryoMeta;;NKBS
