formation,num.col,num.zooid,avg.zooid,min.zh,max.zh,avg.zh,sd.zh,var.zh,min.mpw.b,max.mpw.b,avg.mpw.b,sd.mpw.b,var.mpw.b,min.cw.m,max.cw.m,avg.cw.m,sd.cw.m,var.cw.m,min.cw.d,max.cw.d,avg.cw.d,sd.cw.d,var.cw.d,min.ow.m,max.ow.m,avg.ow.m,sd.ow.m,var.ow.m,min.oh,max.oh,avg.oh,sd.oh,var.oh,min.o.side,max.o.side,avg.o.side,sd.o.side,var.o.side,min.c.side,max.c.side,avg.c.side,sd.c.side,var.c.side
NKLS,66,615,10,6.110239736,7.439168714,6.68135602,0.121161419,0.014680089,4.675262563,5.58042444,5.142669666,0.159701588,0.025504597,5.24197424,6.454560328,5.958256985,0.173246666,0.030014407,5.572068461,6.409168637,6.064618186,0.132917906,0.01766717,5.737826277,6.440277256,6.061067229,0.095266168,0.009075643,-3.242647736,-2.653419009,-2.996125203,0.089982328,0.008096819,5.296253218,6.500854895,5.739547529,0.126149462,0.015913687,5.263127824,6.613904978,5.860808833,0.161771234,0.026169932
NKBS,296,3418,12,6.202542187,7.309929827,6.653231158,0.115919298,0.013437284,4.514776717,5.773019419,5.153819008,0.160192289,0.025661569,5.313885194,6.639059294,5.967214364,0.181200132,0.032833488,5.413773415,6.689748315,6.064966179,0.141510842,0.020025318,5.528399878,6.668822313,6.059552285,0.104931912,0.011010706,-3.443050062,-2.541624555,-3.003149153,0.097867652,0.009578077,5.100241174,6.458576674,5.720407459,0.124813837,0.015578494,5.151963914,6.439470572,5.821952796,0.161954502,0.026229261
Tewkesbury,118,1161,10,5.800815025,7.41958372,6.656669463,0.126352293,0.015964902,4.243059615,5.70121563,5.160267993,0.158026191,0.024972277,5.234953215,6.514805609,5.928748424,0.189250247,0.035815656,5.285371972,6.608255194,6.040176418,0.148589785,0.022078924,5.281831452,6.660406287,6.054783789,0.1122377,0.012597301,-3.400603053,-2.344858757,-2.993639643,0.103199459,0.010650128,4.865741334,6.529235735,5.709357223,0.128824461,0.016595742,5.192895307,6.527742572,5.832988998,0.173210836,0.030001994
Upper Kai-Iwi,20,148,8,6.448910282,7.216801268,6.825627577,0.114707609,0.013157835,4.764447054,5.877202839,5.418438795,0.153424735,0.023539149,5.764531018,6.541135673,6.217060064,0.160381582,0.025722252,5.765534806,6.581099027,6.266638307,0.130026551,0.016906904,5.743056038,6.558429298,6.201249118,0.097058408,0.009420335,-3.312484089,-2.773315083,-3.090593351,0.0949444,0.009014439,5.531673092,6.316019676,5.809856421,0.112552921,0.01266816,5.645475805,6.48921675,6.091330155,0.155202741,0.024087891
Tainui,21,169,9,6.384162764,7.092733395,6.844152698,0.104340917,0.010887027,4.80063041,5.871989028,5.478667866,0.152275039,0.023187688,5.724144455,6.601216867,6.219047795,0.158109668,0.024998667,5.836653623,6.602100841,6.281646576,0.118385758,0.014015188,5.851485267,6.588921645,6.23430241,0.088300626,0.007797,-3.315257754,-2.812917536,-3.103985842,0.081695133,0.006674095,5.578389963,6.126939699,5.872209906,0.096654052,0.009342006,5.51478181,6.470694806,6.063065614,0.161643661,0.026128673
SHCSBSB,60,534,9,6.036633826,7.195842325,6.82229143,0.110824206,0.012282005,4.805761479,5.729705283,5.373323877,0.139154737,0.019364041,5.628809438,6.587908218,6.207422814,0.151268752,0.022882235,5.699921456,6.543688639,6.271786063,0.113554021,0.012894516,5.796309362,6.491354495,6.203667074,0.087292129,0.007619916,-3.31063331,-2.688030774,-3.108673554,0.074906618,0.005611001,5.163752134,6.288257392,5.811230255,0.113689777,0.012925365,5.29805741,6.513741195,6.087284358,0.141117611,0.01991418
modern,18,219,13,6.481603517,7.101355351,6.775512976,0.108972514,0.011875009,5.030459585,5.786354236,5.487531552,0.16740143,0.028023239,5.662385252,6.585579623,6.200130296,0.164067647,0.026918193,5.894223836,6.574948732,6.26247716,0.121560419,0.014776935,5.971209094,6.463339868,6.227109646,0.087824712,0.00771318,-3.303904872,-2.824074018,-3.089365047,0.085775294,0.007357401,5.443687702,6.179194789,5.847780571,0.123954333,0.015364677,5.516084677,6.370101628,5.977315597,0.136360275,0.018594125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,797.3996688,,,,,171.1721313,,,,,386.9351025,,,,,430.3583293,,,,,428.8328555,,,,,0.049980357,,,,,310.9236951,,,,,351.007936,,
,,,,,,775.2853521,,,,,173.0912667,,,,,390.4165962,,,,,430.5081171,,,,,428.1836898,,,,,0.049630528,,,,,305.0291845,,,,,337.6307342,,
,,,,,,777.9556074,,,,,174.2111368,,,,,375.6840224,,,,,419.967118,,,,,426.1467579,,,,,0.050104741,,,,,301.677095,,,,,341.3775323,,
,,,,,,921.1543182,,,,,225.5267541,,,,,501.2274872,,,,,526.7037819,,,,,493.3649274,,,,,0.045474964,,,,,333.5712286,,,,,442.0089609,,
,,,,,,938.3778545,,,,,239.5274122,,,,,502.2247832,,,,,534.6683116,,,,,509.9447621,,,,,0.044870001,,,,,355.0327028,,,,,429.6906855,,
,,,,,,918.0863321,,,,,215.5782336,,,,,496.4202339,,,,,529.4221152,,,,,494.5593056,,,,,0.044660155,,,,,334.029815,,,,,440.224295,,
,,,,,,876.1286804,,,,,241.659945,,,,,492.8132485,,,,,524.5166439,,,,,506.2900093,,,,,0.045530855,,,,,346.4645729,,,,,394.3802705,,
