"colony.id","n.zooid","n.sm.zooid","prop.sm"
"001CC",6,0,0
"001iCC",17,0,0
"002iCV",16,0,0
"003iCV",11,0,0
"004CC",14,0,0
"004CV",5,0,0
"004iCV",9,0,0
"005CV",8,0,0
"006CC",11,0,0
"008CV",15,0,0
"009CC",11,1,0.0909090909090909
"009iCV",8,0,0
"010F",13,0,0
"010iCV",10,0,0
"011iCC",11,0,0
"012CC",18,0,0
"013CC",19,0,0
"013iCV",11,0,0
"015CV",9,1,0.111111111111111
"015iCV",5,0,0
"017CV",14,0,0
"017iCV",14,1,0.0714285714285714
"018iCV",10,0,0
"019iCV",17,0,0
"020iCC",7,0,0
"022CV",14,0,0
"022iCV",11,0,0
"023iCV",5,0,0
"024CC",16,0,0
"024iCV",11,0,0
"025CC",11,0,0
"026CV",5,0,0
"027iCC",8,0,0
"028CC",14,0,0
"028iCV",10,0,0
"030CC",9,0,0
"030iCV",16,0,0
"031CV",5,0,0
"031iCC",14,0,0
"032CC",6,0,0
"032iCV",7,0,0
"033CC",10,0,0
"034CV",12,0,0
"034iCV",20,0,0
"035CC",9,0,0
"036CV",13,0,0
"036iCV",5,0,0
"037CV",5,0,0
"037iCV",17,0,0
"038iCV",16,0,0
"039CV",8,0,0
"039iCV",11,0,0
"040CV",13,0,0
"041CV",7,0,0
"042CV",8,0,0
"042iCV",16,0,0
"043iCC",9,0,0
"044iCC",11,0,0
"046iCV",14,0,0
"047iCV",6,0,0
"048iCC",13,0,0
"049CC",10,0,0
"050CV",17,0,0
"052CC",10,0,0
"053iCV",12,0,0
"054CV",6,0,0
"055CC",5,0,0
"055iCC",15,0,0
"055iCV",14,0,0
"057CC",7,0,0
"057iCV",8,0,0
"058CV",18,0,0
"058iCV",10,0,0
"060CV",15,0,0
"061S",9,0,0
"064CV",11,0,0
"065CC",19,0,0
"066CV",10,0,0
"073CC",10,0,0
"074CV",9,0,0
"075CV",13,0,0
"077CV",26,26,1
"078CV",26,26,1
"079CV",11,11,1
"081CV",18,18,1
"082CV",20,20,1
"083CC",17,0,0
"084CV",15,15,1
"085CV",18,18,1
"088CC",18,0,0
"089CV",9,0,0
"090CC",15,0,0
"091CV",25,25,1
"094CC",15,0,0
"096CV",34,34,1
"097CV",14,14,1
"1000CV",10,0,0
"1002F",5,0,0
"1003CV",8,0,0
"1004CV",8,0,0
"1005CV",5,0,0
"1006CC",8,0,0
"1007CV",8,0,0
"1008CC",7,0,0
"1009CV",10,0,0
"100CV",15,15,1
"1011CV",8,0,0
"1013CC",7,0,0
"1014CC",5,0,0
"1016CV",8,0,0
"1018CV",5,0,0
"1020CC",6,0,0
"1023CV",11,0,0
"1025CV",5,0,0
"1027CV",6,0,0
"102CV",16,16,1
"103CV",15,0,0
"104CV",7,7,1
"105CV",15,0,0
"106CC",10,0,0
"108CV",8,8,1
"109CC",10,10,1
"1100CV",7,0,0
"1102CV",13,0,0
"1104CV",9,0,0
"1105CC",6,0,0
"1106CV",18,0,0
"1107CC",11,0,0
"1108CV",8,0,0
"1109CC",9,0,0
"110CC",21,21,1
"1111CV",7,0,0
"1112CV",14,0,0
"1115CC",9,0,0
"112CV",10,0,0
"113CV",10,0,0
"118CC",13,0,0
"119CV",12,0,0
"1200CC",7,0,0
"121S",9,0,0
"122CV",16,0,0
"123CC",11,0,0
"126CV",19,0,0
"129CV",18,0,0
"130CV",11,0,0
"131CC",6,0,0
"132CV",5,0,0
"134CC",15,0,0
"136CC",10,0,0
"137CV",7,0,0
"138CV",6,0,0
"139CC",10,1,0.1
"140CV",12,0,0
"146CV",8,0,0
"147CC",5,0,0
"151CC",7,0,0
"155CV",7,0,0
"156CV",6,0,0
"157CV",7,0,0
"159CV",12,0,0
"160CV",10,0,0
"161CC",13,0,0
"162CV",19,0,0
"163CV",7,0,0
"164CV",8,0,0
"165CC",10,0,0
"166CV",17,0,0
"168CC",12,0,0
"169CV",11,0,0
"171CV",8,0,0
"173CC",14,0,0
"174CV",16,0,0
"175CC",5,0,0
"178CV",5,0,0
"179CV",13,0,0
"181CC",13,0,0
"182CC",17,0,0
"183CV",17,0,0
"184CC",9,0,0
"185CV",8,0,0
"186CV",11,0,0
"189CC",10,0,0
"190CV",6,0,0
"191CC",18,0,0
"194CV",16,0,0
"195CC",17,0,0
"196CV",16,0,0
"197CV",16,0,0
"199CC",5,0,0
"200CV",14,0,0
"201CC",14,0,0
"202CV",13,0,0
"203CV",18,0,0
