"boxID","magnification","imageName","specimenNR","formation","zh","oh","ow.m","ow.b","mpw.b","cw.m","cw.b","cw.d","zh.zw","oh.ow"
"1434_1085_349_366","x30","003i_CV_2_15v_x30_BSE","003iCV","NKBS",448.252982854571,0.103286511877113,339.549271223751,285.978882028646,193.709974796425,389.48439070281,238.270343273285,360.601647124977,1.24306970428012,0.000304187111063037
"921_102_355_414","x30","009_CC_2_15v_x30_BSE","009CC","NKBS",443.584491920787,0.131718888580346,281.985150016468,226.168946734448,121.407744072056,267.733870790192,150.273779202897,283.694035285038,1.56360175664286,0.000467112855314027
"1132_378_399_412","x30","009_CC_2_15v_x30_BSE","009CC","NKBS",455.842965267502,0.111043966840432,352.108250122258,284.503954613311,153.846363310979,360.099129379511,211.954687394862,364.451188234411,1.25076547966777,0.000315368829903519
"373_1483_463_548","x30","014i_CV_1_15v_x30.BSE","014iCV","NKBS",484.850944865474,0.103904617149112,443.047027606356,328.349667462432,187.742081232051,445.458982125868,243.381159470928,439.24466729397,1.10382887025691,0.000234522772244914
"1445_1120_333_360","x30","015_CV_1_15v_x30_BSE","015CV","NKBS",471.66438940689,0.100440031331576,404.452045557464,343.888213142057,174.403004496572,495.818983939302,343.369166201387,442.801112356657,1.06518338876029,0.000248336069590495
"267_527_352_420","x30","015_CV_2_15v_x30_BSE","015CV","NKBS",498.483688010533,0.111290359797629,381.188118811881,309.572012636565,156.982653386472,434.632916108865,298.205410588266,419.223115234107,1.18906536852617,0.000291956528300273
"987_777_439_610","x30","026i_CC_1_15v_x30.BSE","026iCC","NKBS",358.727808848592,0.102154823510706,362.754916451825,277.738018481442,153.287806740678,328.797191194681,179.875556203704,343.904049578314,1.0431043463677,0.000281608377661429
"117_210_482_650","x30","032i_CV_1_15v_x30.BSE","032iCV","NKBS",483.982456253532,0.0893743083095749,407.513922288179,384.158982908182,199.560835353925,446.667695732478,304.601868070082,466.737149298051,1.03694864868035,0.000219315963017265
"452_2021_472_533","x30","057_CC_1_15v_x30_BSE","057CC","NKBS",499.727621351703,0.0962047390392247,434.005947941913,355.797160694117,208.952857895631,533.850699132095,311.024370049023,494.664316592873,1.0102358399201,0.000221666867690257
"1431_397_417_472","x30","074_CV_2_10v_x30_BSE","074CV","NKBS",497.518595104995,0.100356954745479,404.128747895735,329.12416116029,153.474218133154,448.535371831606,284.503954613311,434.698695306888,1.14451366078694,0.000248329165564264
