"trait.y","trait.x","p-value","slope","r2","df"
NA,NA,NA,NA,NA,NA
"ln.zh","0","1","1","6777","ln.zh"
"ln.mpw.b","5.18355364637856e-82","0.325903467603393","0.0527128696115103","6777","ln.mpw.b"
"ln.cw.m","4.90136118030542e-21","0.171439492863308","0.0128397986324282","6777","ln.cw.m"
"ln.cw.d","5.11817614363847e-79","0.269865573572874","0.050788492348681","6777","ln.cw.d"
"ln.ow.m","1.16943005255726e-200","0.317683383095999","0.125977418097226","6777","ln.ow.m"
"ln.oh","0.110868178646816","-0.0148439648971968","0.000227517786038245","6777","ln.oh"
"ln.o.side","0","0.703340299215779","0.506074685393163","6777","ln.o.side"
"ln.c.side","0","1.23112786215185","0.790163190977332","6777","ln.c.side"
"ln.zh","5.18355364637633e-82","0.162172649137134","0.0527128696115101","6777","ln.zh"
"ln.mpw.b","0","0.999999999999996","1","6777","ln.mpw.b"
"ln.cw.m","0","0.747566423694694","0.496113230940089","6777","ln.cw.m"
"ln.cw.d","0","0.634365128173593","0.565466593671577","6777","ln.cw.d"
"ln.ow.m","0","0.444413387311539","0.495870782389019","6777","ln.ow.m"
"ln.oh","0","-0.382558175597251","0.500492319678028","6777","ln.oh"
"ln.o.side","4.63398801463479e-62","0.139413045690336","0.0398219149719187","6777","ln.o.side"
"ln.c.side","1.76279403993503e-114","0.264821736424074","0.0733393876433645","6777","ln.c.side"
"ln.zh","4.90136118030532e-21","0.0757435770924","0.0128397986324283","6777","ln.zh"
"ln.mpw.b","0","0.663737103119069","0.496113230940089","6777","ln.mpw.b"
"ln.cw.m","0","1","1","6777","ln.cw.m"
"ln.cw.d","0","0.74192146597832","0.871239748837794","6777","ln.cw.d"
"ln.ow.m","0","0.432779657002297","0.529651079906081","6777","ln.ow.m"
"ln.oh","0","-0.391141357307468","0.589308768178304","6777","ln.oh"
"ln.o.side","4.37402819620621e-81","0.150217395438582","0.0521180176766601","6777","ln.o.side"
"ln.c.side","1.73023764024717e-47","0.160633593450099","0.030305392834055","6777","ln.c.side"
"ln.zh","5.1181761436294e-79","0.188718163203739","0.0507884923486809","6777","ln.zh"
"ln.mpw.b","0","0.891490843268818","0.565466593671577","6777","ln.mpw.b"
"ln.cw.m","0","1.17432745321661","0.871239748837794","6777","ln.cw.m"
"ln.cw.d","0","1","1","6777","ln.cw.d"
"ln.ow.m","0","0.65087967709696","0.756942087259451","6777","ln.ow.m"
"ln.oh","0","-0.567421334929928","0.783578345449086","6777","ln.oh"
"ln.o.side","3.34490435809359e-152","0.257331713203071","0.096753970644895","6777","ln.o.side"
"ln.c.side","9.67867438985185e-101","0.294825392894221","0.0646643975946543","6777","ln.c.side"
"ln.zh","1.16943005255467e-200","0.396956135356565","0.125977418097225","6777","ln.zh"
"ln.mpw.b","0","1.11595459054743","0.495870782389018","6777","ln.mpw.b"
"ln.cw.m","0","1.22399577891986","0.529651079906081","6777","ln.cw.m"
"ln.cw.d","0","1.16300750157617","0.756942087259451","6777","ln.cw.d"
"ln.ow.m","0","0.999999999999999","1","6777","ln.ow.m"
"ln.oh","0","-0.721842133656585","0.709684370949083","6777","ln.oh"
"ln.o.side","0","0.498778030555482","0.203592691126268","6777","ln.o.side"
"ln.c.side","1.99326384906455e-116","0.423123013661276","0.0745621164083126","6777","ln.c.side"
"ln.zh","0.110868178646818","-0.0252641641161287","0.000227517786038245","6777","ln.zh"
"ln.mpw.b","0","-1.30847031130565","0.500492319678028","6777","ln.mpw.b"
"ln.cw.m","0","-1.50679376897672","0.589308768178304","6777","ln.cw.m"
"ln.cw.d","0","-1.38100248832336","0.783578345449086","6777","ln.cw.d"
"ln.ow.m","0","-0.983216647943514","0.709684370949084","6777","ln.ow.m"
"ln.oh","0","1","1","6777","ln.oh"
"ln.o.side","0.0628672387551272","-0.0291399905000847","0.000362987071246601","6777","ln.o.side"
"ln.c.side","6.8442791234548e-17","-0.182795408093753","0.0100893104078196","6777","ln.c.side"
"ln.zh","0","0.719633949305929","0.506074685393162","6777","ln.zh"
"ln.mpw.b","4.63398801463532e-62","0.286655927703962","0.039821914971918","6777","ln.mpw.b"
"ln.cw.m","4.37402819620584e-81","0.347881577755744","0.0521180176766602","6777","ln.cw.m"
"ln.cw.d","3.34490435809359e-152","0.376507158318336","0.0967539706448949","6777","ln.cw.d"
"ln.ow.m","0","0.408418529911348","0.203592691126268","6777","ln.ow.m"
"ln.oh","0.0628672387551286","-0.0175178390633748","0.000362987071246601","6777","ln.oh"
"ln.o.side","0","0.999999999999997","1","6777","ln.o.side"
"ln.c.side","5.32925923020319e-221","0.520585725785191","0.137963972780632","6777","ln.c.side"
"ln.zh","0","0.641845720322127","0.790163190977331","6777","ln.zh"
"ln.mpw.b","1.76279403993664e-114","0.277454957328082","0.0733393876433635","6777","ln.mpw.b"
"ln.cw.m","1.73023764024769e-47","0.18955224237698","0.030305392834055","6777","ln.cw.m"
"ln.cw.d","9.67867438986622e-101","0.219799226819763","0.0646643975946544","6777","ln.cw.d"
"ln.ow.m","1.99326384906364e-116","0.176541217413307","0.0745621164083129","6777","ln.ow.m"
"ln.oh","6.84427912345495e-17","-0.0559935182340511","0.0100893104078195","6777","ln.oh"
"ln.o.side","5.32925923018559e-221","0.265261123027963","0.137963972780632","6777","ln.o.side"
"ln.c.side","0","0.999999999999998","1","6777","ln.c.side"
