"boxID","magnification","imageName","specimenNR","formation","zh","oh","ow.m","ow.b","mpw.b","cw.m","cw.b","cw.d","zh.zw","oh.ow"
"578_1087_380_550","x30","001_CC_1_15v_x30_BSE","001CC","NKBS",720.005403710414,0.109791451236102,417.070842757073,332.191784475205,151.28512719058,366.042905465813,206.112150342675,415.857954520879,1.73137340739328,0.000263244130206559
"684_1421_393_539","x30","001_CC_1_15v_x30_BSE","001CC","NKBS",657.656493229936,0.107321965439559,422.084341994345,336.670062097412,138.770930967846,433.148671564577,254.173627075072,436.891900815126,1.50530712975663,0.000254266635271196
"245_1679_384_636","x30","001_CC_1_15v_x30_BSE","001CC","NKBS",760.831661522302,0.110392606306621,432.724116105898,329.723452189572,151.068979738097,388.970182723087,245.896736327132,405.097866836275,1.87814284845346,0.000255110825114275
"714_1793_442_592","x30","001_CC_1_15v_x30_BSE","001CC","NKBS",824.384192936412,0.100482923557605,453.771376502906,371.213780800517,170.933520298067,353.786297356458,181.945192240838,429.883031226069,1.91769419366284,0.000221439537090241
"203_1348_373_571","x30","001_CC_1_15v_x30_BSE","001CC","NKBS",676.768866482174,0.107413968831595,415.959436388119,336.831786647197,133.704104943595,386.046927141855,224.985945625408,435.756061082483,1.55309111432892,0.000258231835691233
"403_700_394_493","x30","001_CC_1_15v_x30_BSE","001CC","NKBS",627.577086230291,0.108976118445983,390.266642934593,329.144844532575,141.587620258169,380.841498000044,243.738925161003,412.74252515927,1.52050503152812,0.000279235031788886
"858_812_438_487","x30","001_CC_1_15v_x30_BSE","001CC","NKBS",794.362084262631,0.110277286959682,439.207469439228,326.990930370367,141.847017642519,328.917255902424,138.947422013339,378.438643282088,2.09905118931132,0.00025108244880371
"32_987_385_601","x30","001_CC_1_15v_x30_BSE","001CC","NKBS",794.929209848657,0.108747797403182,399.32970556685,326.536761613565,154.957436482752,457.667250595736,294.127738168573,442.841082877204,1.79506653873187,0.000272325839743912
"1111_1556_383_591","x30","001_CC_1_15v_x30_BSE","001CC","NKBS",715.863570805076,0.105055319300975,422.174652253172,352.259021946698,131.858407597181,416.972896649943,226.24117441781,439.755818724629,1.62786605730701,0.000248843266028144
"538_381_515_524","x30","001_CC_1_15v_x30_BSE","001CC","NKBS",610.563286054263,0.0965857295325891,401.532995701524,343.507919644067,164.562080580145,423.436973445999,299.776445513649,425.016009598811,1.43656538169138,0.000240542447486396
"1078_1118_493_553","x30","001_CC_1_15v_x30_BSE","001CC","NKBS",782.185180512381,0.10740371345763,449.381474053401,345.960549114233,173.832176891876,380.473091041934,199.942535503906,423.485201807375,1.84701892102516,0.000239003429511353
"135_276_525_435","x30","001_CC_1_15v_x30_BSE","001CC","NKBS",764.669446902001,0.114556624576404,391.127402004914,304.655501454944,146.009301176394,342.066113017707,176.22804389236,365.819663177027,2.09029071937001,0.000292888260932852
"478_1143_463_641","x30","001_CC_2_15v_x30_BSE","001CC","NKBS",794.595151619478,0.0926115952454931,496.962749534777,431.182782424329,165.839531701665,475.250389613661,307.214461250171,522.987775198847,1.51933790673666,0.000186355205359335
"707_1472_507_608","x30","001_CC_2_15v_x30_BSE","001CC","NKBS",798.354200848413,0.091871245150064,506.890834000908,432.686357682618,198.911633073322,475.422249692668,265.512525458341,540.320070639884,1.47755792210892,0.000181244636887436
"442_388_450_686","x30","001_CC_2_15v_x30_BSE","001CC","NKBS",770.655330539276,0.09960731414496,456.413091945192,392.229333083985,166.601300778608,460.94281264667,286.578129981418,477.197366074106,1.61496140869226,0.000218239388621484
"212_771_454_593","x30","001_CC_2_15v_x30_BSE","001CC","NKBS",801.963220833764,0.107927960965958,441.310402694925,350.538709344026,141.895002156473,367.820264526687,222.870043331383,420.614082588936,1.9066485265961,0.000244562467385497
