"boxID","image","colony.id","zooid.id","formation","zh","oh","ow.m","ow.b","mpw.b","cw.m","cw.d","o.side","c.side","ln.zh","ln.mpw.b","ln.cw.m","ln.cw.d","ln.ow.m","ln.oh","ln.o.side","ln.c.side"
"242_618_247_319","110_CC_1_15v_x30_BSE","110CC","242_618_247_319_110_CC_1_15v_x30_BSE","NKBS",383.978188020339,0.0704896854135259,200.105898398051,173.275184483147,89.1089108910891,230.533427295834,231.611697155416,303.100265367703,348.527038917213,5.95058574894406,4.4898593394771,5.44039587272842,5.44506225027586,5.29884671840687,-2.65228888605883,5.71406365957542,5.85371581375392
"509_558_253_317","110_CC_1_15v_x30_BSE","110CC","509_558_253_317_110_CC_1_15v_x30_BSE","NKBS",366.622699238055,0.0628007426977298,219.043478627658,195.563701002457,105.816630639481,264.27896336194,255.32804454298,303.100265367703,348.527038917213,5.90433325175949,4.66170769648032,5.5770052246549,5.54254916757981,5.38927024265791,-2.76778837918094,5.71406365957542,5.85371581375392
"128_797_268_314","110_CC_1_15v_x30_BSE","110CC","128_797_268_314_110_CC_1_15v_x30_BSE","NKBS",373.870732295402,0.0752098622599134,201.320132013201,160.06600660066,100.714155245328,231.611697155416,231.04667489356,303.100265367703,348.527038917213,5.923910102095,4.61228635831965,5.44506225027586,5.44261974592754,5.30489633764608,-2.58747290955205,5.71406365957542,5.85371581375392
"351_245_221_349","110_CC_1_15v_x30_BSE","110CC","351_245_221_349_110_CC_1_15v_x30_BSE","NKBS",417.021872579088,0.0710661009050761,204.680338306437,174.6136597782,94.5646784283459,210.355590494752,221.423615933925,303.100265367703,348.527038917213,6.03313867265126,4.54928402819898,5.34879938679176,5.40007768095431,5.32144943679089,-2.64414483638824,5.71406365957542,5.85371581375392
"53_161_200_345","110_CC_1_15v_x30_BSE","110CC","53_161_200_345_110_CC_1_15v_x30_BSE","NKBS",412.633653018819,0.0679994781336002,201.320132013201,180.954721117668,82.9854188823773,162.823714634244,205.635987387909,303.100265367703,348.527038917213,6.02256016061405,4.41866491624781,5.0926681102465,5.32610755419742,5.30489633764608,-2.68825524834136,5.71406365957542,5.85371581375392
"366_442_223_308","110_CC_1_15v_x30_BSE","110CC","366_442_223_308_110_CC_1_15v_x30_BSE","NKBS",397.857488974885,0.0791538336361692,189.338009701947,146.149107758974,86.3779031571116,183.354052056381,195.417443473102,303.100265367703,348.527038917213,5.98609387326052,4.45873189260388,5.21141899438974,5.27513800621336,5.24353382887803,-2.53636205875327,5.71406365957542,5.85371581375392
"398_779_240_298","110_CC_1_15v_x30_BSE","110CC","398_779_240_298_110_CC_1_15v_x30_BSE","NKBS",369.666429754346,0.0625985481487644,227.088128901463,201.563451941947,127.234036476576,273.718557318472,272.077134197512,303.100265367703,348.527038917213,5.91260105780111,4.84602819747526,5.61210041542329,5.60608560770283,5.42533817518455,-2.77101319365679,5.71406365957542,5.85371581375392
"658_776_217_273","110_CC_1_15v_x30_BSE","110CC","658_776_217_273_110_CC_1_15v_x30_BSE","NKBS",355.766545927722,0.0625201635812156,220.363458915503,193.920720071585,108.960884615308,237.446074012198,257.494490270122,303.100265367703,348.527038917213,5.87427474587497,4.69098896108436,5.46994054090266,5.55099832286564,5.39527826913908,-2.7722661569701,5.71406365957542,5.85371581375392
"637_353_260_295","110_CC_1_15v_x30_BSE","110CC","637_353_260_295_110_CC_1_15v_x30_BSE","NKBS",326.936796590589,0.0716585628459915,193.414545635019,160.202044875805,74.2757586463822,231.028995681549,214.62297673781,303.100265367703,348.527038917213,5.78976686961818,4.30778463531714,5.44254322507546,5.36888289220901,5.26483579029974,-2.63584262248378,5.71406365957542,5.85371581375392
"253_1173_425_578","392_CV_1_15v_x30_BSE","392CV","253_1173_425_578_392_CV_1_15v_x30_BSE","NKBS",749.400236540461,0.0481269920435472,403.734378842968,356.989088723285,206.692637609737,365.640971209508,442.395053339784,303.100265367703,348.527038917213,6.61927320199933,5.3312328473293,5.90165189897263,6.09220326872559,6.00075718361617,-3.03391209411819,5.71406365957542,5.85371581375392
"785_1155_461_609","392_CV_1_15v_x30_BSE","392CV","785_1155_461_609_392_CV_1_15v_x30_BSE","NKBS",740.749499815692,0.0432390776039704,454.613723572876,417.882909412355,168.260198846276,388.381682830059,475.138647227576,303.100265367703,348.527038917213,6.60766251121307,5.12551158390181,5.96198857472335,6.16360665034352,6.11944809920053,-3.14101061844675,5.71406365957542,5.85371581375392
"10_820_438_582","392_CV_1_15v_x30_BSE","392CV","10_820_438_582_392_CV_1_15v_x30_BSE","NKBS",690.904997209846,0.0437953483528908,473.605984213281,412.795301315504,193.52010782326,437.153598570017,479.684549628668,303.100265367703,348.527038917213,6.53800232836749,5.26538142347018,6.08028461748143,6.17312869958546,6.16037571907544,-3.12822766922836,5.71406365957542,5.85371581375392
