"folder","formation","image","ext","imageName","specimenNR","number","colonyCurve","pictureNumber","AV","magnification","backscatter"
"Sara","NONE","002_CV_1_15v_x30.tif","tif","002_CV_1_15v_x30_NONE","002CV","002","CV","1","15v","x30",NA
"Sara","NONE","002_CV_1_15v_x30.txt","txt","002_CV_1_15v_x30_NONE","002CV","002","CV","1","15v","x30",NA
"Sara","NONE","003_CC_1_15v_x30.tif","tif","003_CC_1_15v_x30_NONE","003CC","003","CC","1","15v","x30",NA
"Sara","NONE","003_CC_1_15v_x30.txt","txt","003_CC_1_15v_x30_NONE","003CC","003","CC","1","15v","x30",NA
"Sara","NONE","004_CV_1_15v_x30.tif","tif","004_CV_1_15v_x30_NONE","004CV","004","CV","1","15v","x30",NA
"Sara","NONE","004_CV_1_15v_x30.txt","txt","004_CV_1_15v_x30_NONE","004CV","004","CV","1","15v","x30",NA
"Sara","NONE","004_CV_2_15v_x30.tif","tif","004_CV_2_15v_x30_NONE","004CV","004","CV","2","15v","x30",NA
"Sara","NONE","004_CV_2_15v_x30.txt","txt","004_CV_2_15v_x30_NONE","004CV","004","CV","2","15v","x30",NA
"Sara","NONE","005_CV_1_15v_x30.tif","tif","005_CV_1_15v_x30_NONE","005CV","005","CV","1","15v","x30",NA
"Sara","NONE","005_CV_1_15v_x30.txt","txt","005_CV_1_15v_x30_NONE","005CV","005","CV","1","15v","x30",NA
"Sara","KAH","001_CC_1_15v_x30.tif","tif","001_CC_1_15v_x30_KAH","001CC","001","CC","1","15v","x30",NA
"Sara","KAH","001_CC_1_15v_x30.txt","txt","001_CC_1_15v_x30_KAH","001CC","001","CC","1","15v","x30",NA
"Sara","KAH","001_CC_2_15v_x30.tif","tif","001_CC_2_15v_x30_KAH","001CC","001","CC","2","15v","x30",NA
"Sara","KAH","001_CC_2_15v_x30.txt","txt","001_CC_2_15v_x30_KAH","001CC","001","CC","2","15v","x30",NA
"Sara","NKBS","038i_CV_1_15v_x30.tif","tif","038i_CV_1_15v_x30_NKBS","038iCV","038i","CV","1","15v","x30",NA
"Sara","NKBS","038i_CV_1_15v_x30.txt","txt","038i_CV_1_15v_x30_NKBS","038iCV","038i","CV","1","15v","x30",NA
"Sara","NKBS","038i_CV_2_15v_x30.tif","tif","038i_CV_2_15v_x30_NKBS","038iCV","038i","CV","2","15v","x30",NA
"Sara","NKBS","038i_CV_2_15v_x30.txt","txt","038i_CV_2_15v_x30_NKBS","038iCV","038i","CV","2","15v","x30",NA
"Sara","NKBS","039i_CV_1_15v_x30.tif","tif","039i_CV_1_15v_x30_NKBS","039iCV","039i","CV","1","15v","x30",NA
"Sara","NKBS","039i_CV_1_15v_x30.txt","txt","039i_CV_1_15v_x30_NKBS","039iCV","039i","CV","1","15v","x30",NA
"Sara","NKBS","039i_CV_2_15v_x30.tif","tif","039i_CV_2_15v_x30_NKBS","039iCV","039i","CV","2","15v","x30",NA
"Sara","NKBS","039i_CV_2_15v_x30.txt","txt","039i_CV_2_15v_x30_NKBS","039iCV","039i","CV","2","15v","x30",NA
"Sara","NKBS","040i_CV_1_15v_x30.tif","tif","040i_CV_1_15v_x30_NKBS","040iCV","040i","CV","1","15v","x30",NA
"Sara","NKBS","040i_CV_1_15v_x30.txt","txt","040i_CV_1_15v_x30_NKBS","040iCV","040i","CV","1","15v","x30",NA
"Sara","NKBS","040i_CV_2_15v_x30.tif","tif","040i_CV_2_15v_x30_NKBS","040iCV","040i","CV","2","15v","x30",NA
"Sara","NKBS","040i_CV_2_15v_x30.txt","txt","040i_CV_2_15v_x30_NKBS","040iCV","040i","CV","2","15v","x30",NA
"Sara","NKBS","041i_CV_1_15v_x30.tif","tif","041i_CV_1_15v_x30_NKBS","041iCV","041i","CV","1","15v","x30",NA
"Sara","NKBS","041i_CV_1_15v_x30.txt","txt","041i_CV_1_15v_x30_NKBS","041iCV","041i","CV","1","15v","x30",NA
"Sara","NKBS","041i_CV_2_15v_x30.tif","tif","041i_CV_2_15v_x30_NKBS","041iCV","041i","CV","2","15v","x30",NA
"Sara","NKBS","041i_CV_2_15v_x30.txt","txt","041i_CV_2_15v_x30_NKBS","041iCV","041i","CV","2","15v","x30",NA
"Sara","NKBS","042i_CV_1_15v_x30.tif","tif","042i_CV_1_15v_x30_NKBS","042iCV","042i","CV","1","15v","x30",NA
"Sara","NKBS","042i_CV_1_15v_x30.txt","txt","042i_CV_1_15v_x30_NKBS","042iCV","042i","CV","1","15v","x30",NA
"Sara","NKBS","042i_CV_2_15v_x30.tif","tif","042i_CV_2_15v_x30_NKBS","042iCV","042i","CV","2","15v","x30",NA
"Sara","NKBS","042i_CV_2_15v_x30.txt","txt","042i_CV_2_15v_x30_NKBS","042iCV","042i","CV","2","15v","x30",NA
"Sara","NKBS","042i_CV_3_15v_x30.tif","tif","042i_CV_3_15v_x30_NKBS","042iCV","042i","CV","3","15v","x30",NA
"Sara","NKBS","042i_CV_3_15v_x30.txt","txt","042i_CV_3_15v_x30_NKBS","042iCV","042i","CV","3","15v","x30",NA
"Sara","NKBS","043i_CC_1_15v_x30.tif","tif","043i_CC_1_15v_x30_NKBS","043iCC","043i","CC","1","15v","x30",NA
"Sara","NKBS","043i_CC_1_15v_x30.txt","txt","043i_CC_1_15v_x30_NKBS","043iCC","043i","CC","1","15v","x30",NA
"Sara","NKBS","043i_CC_2_15v_x30.tif","tif","043i_CC_2_15v_x30_NKBS","043iCC","043i","CC","2","15v","x30",NA
"Sara","NKBS","043i_CC_2_15v_x30.txt","txt","043i_CC_2_15v_x30_NKBS","043iCC","043i","CC","2","15v","x30",NA
"Sara","NKBS","044i_CC_1_15v_x30.tif","tif","044i_CC_1_15v_x30_NKBS","044iCC","044i","CC","1","15v","x30",NA
"Sara","NKBS","044i_CC_1_15v_x30.txt","txt","044i_CC_1_15v_x30_NKBS","044iCC","044i","CC","1","15v","x30",NA
"Sara","NKBS","044i_CC_2_15v_x30.tif","tif","044i_CC_2_15v_x30_NKBS","044iCC","044i","CC","2","15v","x30",NA
"Sara","NKBS","044i_CC_2_15v_x30.txt","txt","044i_CC_2_15v_x30_NKBS","044iCC","044i","CC","2","15v","x30",NA
"Sara","NKBS","045i_CV_1_15v_x30.tif","tif","045i_CV_1_15v_x30_NKBS","045iCV","045i","CV","1","15v","x30",NA
"Sara","NKBS","045i_CV_1_15v_x30.txt","txt","045i_CV_1_15v_x30_NKBS","045iCV","045i","CV","1","15v","x30",NA
"Sara","NKBS","046i_CV_1_15v_x30.tif","tif","046i_CV_1_15v_x30_NKBS","046iCV","046i","CV","1","15v","x30",NA
"Sara","NKBS","046i_CV_1_15v_x30.txt","txt","046i_CV_1_15v_x30_NKBS","046iCV","046i","CV","1","15v","x30",NA
"Sara","NKBS","046i_CV_2_15v_x30.tif","tif","046i_CV_2_15v_x30_NKBS","046iCV","046i","CV","2","15v","x30",NA
"Sara","NKBS","046i_CV_2_15v_x30.txt","txt","046i_CV_2_15v_x30_NKBS","046iCV","046i","CV","2","15v","x30",NA
"Sara","NKBS","047i_CV_1_15v_x30.tif","tif","047i_CV_1_15v_x30_NKBS","047iCV","047i","CV","1","15v","x30",NA
"Sara","NKBS","047i_CV_1_15v_x30.txt","txt","047i_CV_1_15v_x30_NKBS","047iCV","047i","CV","1","15v","x30",NA
"Sara","NKBS","048i_CC_1_15v_x30.tif","tif","048i_CC_1_15v_x30_NKBS","048iCC","048i","CC","1","15v","x30",NA
"Sara","NKBS","048i_CC_1_15v_x30.txt","txt","048i_CC_1_15v_x30_NKBS","048iCC","048i","CC","1","15v","x30",NA
"Sara","NKBS","048i_CC_2_15v_x30.tif","tif","048i_CC_2_15v_x30_NKBS","048iCC","048i","CC","2","15v","x30",NA
"Sara","NKBS","048i_CC_2_15v_x30.txt","txt","048i_CC_2_15v_x30_NKBS","048iCC","048i","CC","2","15v","x30",NA
"Sara","NKBS","048i_CV_1_15v_x30.tif","tif","048i_CV_1_15v_x30_NKBS","048iCV","048i","CV","1","15v","x30",NA
"Sara","NKBS","048i_CV_1_15v_x30.txt","txt","048i_CV_1_15v_x30_NKBS","048iCV","048i","CV","1","15v","x30",NA
"Sara","NKBS","049i_CV_1_15v_x30.tif","tif","049i_CV_1_15v_x30_NKBS","049iCV","049i","CV","1","15v","x30",NA
"Sara","NKBS","049i_CV_1_15v_x30.txt","txt","049i_CV_1_15v_x30_NKBS","049iCV","049i","CV","1","15v","x30",NA
"Sara","NKBS","050i_CV_1_15v_x30.tif","tif","050i_CV_1_15v_x30_NKBS","050iCV","050i","CV","1","15v","x30",NA
"Sara","NKBS","050i_CV_1_15v_x30.txt","txt","050i_CV_1_15v_x30_NKBS","050iCV","050i","CV","1","15v","x30",NA
"Sara","NKBS","050i_CV_2_15v_x30.tif","tif","050i_CV_2_15v_x30_NKBS","050iCV","050i","CV","2","15v","x30",NA
"Sara","NKBS","050i_CV_2_15v_x30.txt","txt","050i_CV_2_15v_x30_NKBS","050iCV","050i","CV","2","15v","x30",NA
"Sara","NKBS","051i_CV_1_15v_x30.tif","tif","051i_CV_1_15v_x30_NKBS","051iCV","051i","CV","1","15v","x30",NA
"Sara","NKBS","051i_CV_1_15v_x30.txt","txt","051i_CV_1_15v_x30_NKBS","051iCV","051i","CV","1","15v","x30",NA
"Sara","NKBS","051i_CV_2_15v_x30.tif","tif","051i_CV_2_15v_x30_NKBS","051iCV","051i","CV","2","15v","x30",NA
"Sara","NKBS","051i_CV_2_15v_x30.txt","txt","051i_CV_2_15v_x30_NKBS","051iCV","051i","CV","2","15v","x30",NA
"Sara","NKBS","052i_CC_1_15v_x30.tif","tif","052i_CC_1_15v_x30_NKBS","052iCC","052i","CC","1","15v","x30",NA
"Sara","NKBS","052i_CC_1_15v_x30.txt","txt","052i_CC_1_15v_x30_NKBS","052iCC","052i","CC","1","15v","x30",NA
"Sara","NKBS","053i_CC_1_15v_x30.tif","tif","053i_CC_1_15v_x30_NKBS","053iCC","053i","CC","1","15v","x30",NA
"Sara","NKBS","053i_CC_1_15v_x30.txt","txt","053i_CC_1_15v_x30_NKBS","053iCC","053i","CC","1","15v","x30",NA
"Sara","NKBS","053i_CV_1_15v_x30.tif","tif","053i_CV_1_15v_x30_NKBS","053iCV","053i","CV","1","15v","x30",NA
"Sara","NKBS","053i_CV_1_15v_x30.txt","txt","053i_CV_1_15v_x30_NKBS","053iCV","053i","CV","1","15v","x30",NA
"Sara","NKBS","053i_CV_2_15v_x30.tif","tif","053i_CV_2_15v_x30_NKBS","053iCV","053i","CV","2","15v","x30",NA
"Sara","NKBS","053i_CV_2_15v_x30.txt","txt","053i_CV_2_15v_x30_NKBS","053iCV","053i","CV","2","15v","x30",NA
"Sara","NKBS","054i_CV_1_15v_x30.tif","tif","054i_CV_1_15v_x30_NKBS","054iCV","054i","CV","1","15v","x30",NA
"Sara","NKBS","054i_CV_1_15v_x30.txt","txt","054i_CV_1_15v_x30_NKBS","054iCV","054i","CV","1","15v","x30",NA
"Sara","NKBS","055i_CC_1_15v_x30.tif","tif","055i_CC_1_15v_x30_NKBS","055iCC","055i","CC","1","15v","x30",NA
"Sara","NKBS","055i_CC_1_15v_x30.txt","txt","055i_CC_1_15v_x30_NKBS","055iCC","055i","CC","1","15v","x30",NA
"Sara","NKBS","055i_CC_2_15v_x30.tif","tif","055i_CC_2_15v_x30_NKBS","055iCC","055i","CC","2","15v","x30",NA
"Sara","NKBS","055i_CC_2_15v_x30.txt","txt","055i_CC_2_15v_x30_NKBS","055iCC","055i","CC","2","15v","x30",NA
"Sara","NKBS","055i_CV_1_15v_x30.tif","tif","055i_CV_1_15v_x30_NKBS","055iCV","055i","CV","1","15v","x30",NA
"Sara","NKBS","055i_CV_1_15v_x30.txt","txt","055i_CV_1_15v_x30_NKBS","055iCV","055i","CV","1","15v","x30",NA
"Sara","NKBS","055i_CV_2_15v_x30.tif","tif","055i_CV_2_15v_x30_NKBS","055iCV","055i","CV","2","15v","x30",NA
"Sara","NKBS","055i_CV_2_15v_x30.txt","txt","055i_CV_2_15v_x30_NKBS","055iCV","055i","CV","2","15v","x30",NA
"Sara","NKBS","056i_CV_1_15v_x30.tif","tif","056i_CV_1_15v_x30_NKBS","056iCV","056i","CV","1","15v","x30",NA
"Sara","NKBS","056i_CV_1_15v_x30.txt","txt","056i_CV_1_15v_x30_NKBS","056iCV","056i","CV","1","15v","x30",NA
"Sara","NKBS","057i_CV_1_15v_x30.tif","tif","057i_CV_1_15v_x30_NKBS","057iCV","057i","CV","1","15v","x30",NA
"Sara","NKBS","057i_CV_1_15v_x30.txt","txt","057i_CV_1_15v_x30_NKBS","057iCV","057i","CV","1","15v","x30",NA
"Sara","NKBS","057i_CV_2_15v_x30.tif","tif","057i_CV_2_15v_x30_NKBS","057iCV","057i","CV","2","15v","x30",NA
"Sara","NKBS","057i_CV_2_15v_x30.txt","txt","057i_CV_2_15v_x30_NKBS","057iCV","057i","CV","2","15v","x30",NA
"Sara","NKBS","058i_CV_1_15v_x30.tif","tif","058i_CV_1_15v_x30_NKBS","058iCV","058i","CV","1","15v","x30",NA
"Sara","NKBS","058i_CV_1_15v_x30.txt","txt","058i_CV_1_15v_x30_NKBS","058iCV","058i","CV","1","15v","x30",NA
"Sara","NKBS","058i_CV_2_15v_x30.tif","tif","058i_CV_2_15v_x30_NKBS","058iCV","058i","CV","2","15v","x30",NA
"Sara","NKBS","058i_CV_2_15v_x30.txt","txt","058i_CV_2_15v_x30_NKBS","058iCV","058i","CV","2","15v","x30",NA
"Sara","NKBS","059i_CC_1_15v_x30.tif","tif","059i_CC_1_15v_x30_NKBS","059iCC","059i","CC","1","15v","x30",NA
"Sara","NKBS","059i_CC_1_15v_x30.txt","txt","059i_CC_1_15v_x30_NKBS","059iCC","059i","CC","1","15v","x30",NA
"Sara","NKBS","059i_CV_1_15v_x30.tif","tif","059i_CV_1_15v_x30_NKBS","059iCV","059i","CV","1","15v","x30",NA
"Sara","NKBS","059i_CV_1_15v_x30.txt","txt","059i_CV_1_15v_x30_NKBS","059iCV","059i","CV","1","15v","x30",NA
